visual_part_id,total_image_rts,total_letter_rts,total_visual_rts,random_image_mean_rt,random_letter_mean_rt,structured_image_mean_rt,structured_letter_mean_rt,random_lsl_rt_slope,random_vsl_rt_slope,structured_lsl_rt_slope,structured_vsl_rt_slope,letter_mean_rt_difference,image_mean_rt_difference,lsl_rt_slope_difference,vsl_rt_slope_difference
blast_a_001,47,48,95,465.1403232,483.2913753,537.7923448,389.902354,3.454,4.893,2.501,8.145,-0.193235439,0.156193772,-0.275911986,0.664622931
blast_a_002,49,48,97,420.341061,525.648878,478.1179243,170.1381932,-10.351,-2.758,-14.068,0.925,-0.676327297,0.137452342,0.35909574,-1.335387962
blast_a_004,46,48,94,420.8449454,471.4845544,437.4473005,461.1935941,-5.126,4.028,0.101,-4.394,-0.021826718,0.039450052,-1.019703472,-2.090863952
blast_a_005,50,48,98,497.4571487,531.4521261,436.0689388,296.8852132,-2.116,1.692,-2.058,-7.12,-0.441369789,-0.123404016,-0.027410208,-5.208037825
blast_a_006,46,48,94,434.4073131,426.3676629,442.3025113,438.8770242,-1.402,-2.637,-0.076,0.111,0.029339376,0.018174644,-0.945791726,-1.042093288
blast_a_007,50,48,98,453.8319919,461.4130761,413.5081435,412.790001,-0.591,2.281,2.467,-2.088,-0.105378624,-0.08885193,-5.17428088,-1.915387988
blast_a_008,46,48,94,432.0642903,444.6381625,339.8880555,192.3535433,3.974,1.427,-2.515,-10.154,-0.567393086,-0.213339165,-1.632863613,-8.11562719
blast_a_010,48,48,96,470.9667295,525.6719218,521.3359582,454.495723,-4.807,11.786,6.21,0.757,-0.13540042,0.106948592,-2.291866029,-0.935771254
blast_a_011,48,48,96,433.3102313,444.782261,420.8098858,362.4823074,-3.347,3.653,-1.661,-7.049,-0.185034253,-0.028848489,-0.503734688,-2.929646866
blast_a_012,36,36,72,575.0885311,586.2353219,511.3981172,497.6585707,-0.921,7.12,-7.864,0.231,-0.15109419,-0.110748885,7.53854506,-0.96755618
blast_a_013,50,48,98,526.9737013,510.7497357,370.1267801,318.1146691,2.955,-4.548,-21.85,-11.783,-0.377161363,-0.297637094,-8.394247039,1.590809147
blast_a_014,50,48,98,518.5844366,442.3507319,490.2658208,349.9563035,-0.511,-1.023,-13.166,-3.591,-0.208871426,-0.054607531,24.76516634,2.51026393
blast_a_015,50,48,98,465.7191174,482.2863099,463.1546227,238.5712389,-4.616,0.962,0.545,-0.236,-0.505332758,-0.005506527,-1.118067591,-1.245322245
blast_a_017,48,48,96,601.0337072,660.5983876,390.2437368,436.4452825,-2.497,11.456,-19.92,-9.608,-0.339318275,-0.350712394,6.977573088,-1.838687151
blast_a_018,48,48,96,441.2980865,404.8575086,413.8648244,422.9233086,0.109,-0.073,-1.45,1.337,0.044622613,-0.062164924,-14.30275229,-19.31506849
blast_a_020,48,48,96,530.7330057,506.9097158,491.307392,544.0527406,-1.792,1.097,1.184,0.883,0.073273452,-0.074285212,-1.660714286,-0.195077484
blast_a_021,50,48,98,428.2393677,424.6397434,420.4711368,317.0005979,-0.497,2.642,-16.673,0.536,-0.253483446,-0.018139927,32.5472837,-0.797123391
blast_a_022,50,48,98,435.7253955,442.670252,433.1554472,433.4978362,0.796,-0.206,-1.817,-2.494,-0.020720651,-0.005898092,-3.282663317,11.10679612
blast_a_023,48,48,96,541.3251307,471.7627751,494.6945426,470.5104823,-6.398,2.748,4.838,-2.32,-0.002654497,-0.086141554,-1.756173804,-1.844250364
blast_a_024,48,48,96,543.2637623,511.1789669,475.6728375,567.2676559,-6.093,0.333,4.437,-0.312,0.109724172,-0.124416406,-1.728212703,-1.936936937
blast_a_025,50,48,98,547.7802155,584.6600387,466.3442036,489.2787681,10.576,-0.828,-2.432,-1.625,-0.163139712,-0.148665486,-1.229954614,0.962560386
blast_a_026,35,36,71,438.2584728,411.3519417,432.5637105,71.84358033,0.632,-2.002,16.224,-2.259,-0.825347657,-0.012994072,24.67088608,0.128371628
blast_a_027,50,48,98,525.4665085,518.1947976,507.1804618,39.16214268,-5.556,-0.166,-17.944,0.441,-0.924425828,-0.034799643,2.229661627,-3.656626506
blast_a_028,50,48,98,649.5867884,686.0881047,763.600004,631.8020447,19.688,12.077,17.39,-16.737,-0.079124036,0.175516525,-0.116720845,-2.385857415
blast_a_035,46,48,94,481.1757586,492.8879012,520.6465324,456.5569659,-0.221,-0.15,0.272,6.558,-0.073710341,0.082029847,-2.230769231,-44.72
blast_a_038,48,48,96,468.9949284,513.722976,426.3802767,205.8787147,-2.497,-0.305,-6.867,-3.478,-0.599241762,-0.090863779,1.75010012,10.40327869
blast_a_039,48,48,96,558.322231,529.3514588,473.7697124,497.6249139,0.742,-2.313,7.312,1.494,-0.059934746,-0.151440358,8.854447439,-1.645914397
