"onset","word","location","image","repetition","trialnum","condition","fmri_tp"
2.0495,0,1,"Alien9  ",1,1,"R       ",0
2.0495,0,1,"Alien9  ",1,1,"R       ",0.8
3.0327,0,2,"Alien6  ",1,2,"R       ",1.6
4.0326,0,3,"Alien5  ",1,3,"R       ",2.4
5.0325,0,1,"Alien12 ",1,4,"R       ",3.2
6.0323,0,2,"Alien2  ",1,5,"R       ",4
6.0323,0,2,"Alien2  ",1,5,"R       ",4.8
7.0322,0,3,"Alien3  ",1,6,"R       ",5.6
8.0321,0,1,"Alien5  ",1,7,"R       ",6.4
9.0404,0,2,"Alien11 ",1,8,"R       ",7.2
10.0319,0,3,"Alien8  ",1,9,"R       ",8
10.0319,0,3,"Alien8  ",1,9,"R       ",8.8
11.0317,0,1,"Alien4  ",1,10,"R       ",9.6
12.0316,0,2,"Alien12 ",1,11,"R       ",10.4
13.0315,0,3,"Alien10 ",1,12,"R       ",11.2
14.0314,0,1,"Alien6  ",1,13,"R       ",12
14.0314,0,1,"Alien6  ",1,13,"R       ",12.8
15.0313,0,2,"Alien5  ",1,14,"R       ",13.6
16.0311,0,3,"Alien1  ",1,15,"R       ",14.4
17.0227,0,1,"Alien1  ",1,16,"R       ",15.2
18.0309,0,2,"Alien11 ",1,17,"R       ",16
18.0309,0,2,"Alien11 ",1,17,"R       ",16.8
19.0308,0,3,"Alien10 ",1,18,"R       ",17.6
20.0307,0,1,"Alien3  ",1,19,"R       ",18.4
21.0305,0,2,"Alien2  ",1,20,"R       ",19.2
22.0304,0,3,"Alien6  ",1,21,"R       ",20
22.0304,0,3,"Alien6  ",1,21,"R       ",20.8
23.0303,0,1,"Alien4  ",1,22,"R       ",21.6
24.0302,0,2,"Alien7  ",1,23,"R       ",22.4
25.03,0,3,"Alien4  ",1,24,"R       ",23.2
26.0299,0,1,"Alien8  ",1,25,"R       ",24
26.0299,0,1,"Alien8  ",1,25,"R       ",24.8
27.0298,0,2,"Alien6  ",1,26,"R       ",25.6
28.0297,0,3,"Alien5  ",1,27,"R       ",26.4
29.0295,0,1,"Alien8  ",1,28,"R       ",27.2
30.0294,0,2,"Alien6  ",1,29,"R       ",28
30.0294,0,2,"Alien6  ",1,29,"R       ",28.8
31.0293,0,3,"Alien5  ",1,30,"R       ",29.6
32.0292,0,1,"Alien10 ",1,31,"R       ",30.4
33.0291,0,2,"Alien12 ",1,32,"R       ",31.2
34.0289,0,3,"Alien2  ",1,33,"R       ",32
34.0289,0,3,"Alien2  ",1,33,"R       ",32.8
35.0288,0,1,"Alien11 ",1,34,"R       ",33.6
36.0287,0,2,"Alien7  ",1,35,"R       ",34.4
37.0286,0,3,"Alien9  ",1,36,"R       ",35.2
38.0284,0,1,"Alien4  ",1,37,"R       ",36
38.0284,0,1,"Alien4  ",1,37,"R       ",36.8
39.0283,0,2,"Alien12 ",1,38,"R       ",37.6
40.0282,0,3,"Alien8  ",1,39,"R       ",38.4
41.0281,0,1,"Alien11 ",1,40,"R       ",39.2
42.028,0,2,"Alien3  ",1,41,"R       ",40
