onset   	word    	location	image   	repetition	trialnum	condition
2.0495  	0       	1       	Alien9  	1       	1       	R       
3.0327  	0       	2       	Alien6  	1       	2       	R       
4.0326  	0       	3       	Alien5  	1       	3       	R       
5.0325  	0       	1       	Alien12 	1       	4       	R       
6.0323  	0       	2       	Alien2  	1       	5       	R       
7.0322  	0       	3       	Alien3  	1       	6       	R       
8.0321  	0       	1       	Alien5  	1       	7       	R       
9.0404  	0       	2       	Alien11 	1       	8       	R       
10.0319 	0       	3       	Alien8  	1       	9       	R       
11.0317 	0       	1       	Alien4  	1       	10      	R       
12.0316 	0       	2       	Alien12 	1       	11      	R       
13.0315 	0       	3       	Alien10 	1       	12      	R       
14.0314 	0       	1       	Alien6  	1       	13      	R       
15.0313 	0       	2       	Alien5  	1       	14      	R       
16.0311 	0       	3       	Alien1  	1       	15      	R       
17.0227 	0       	1       	Alien1  	1       	16      	R       
18.0309 	0       	2       	Alien11 	1       	17      	R       
19.0308 	0       	3       	Alien10 	1       	18      	R       
20.0307 	0       	1       	Alien3  	1       	19      	R       
21.0305 	0       	2       	Alien2  	1       	20      	R       
22.0304 	0       	3       	Alien6  	1       	21      	R       
23.0303 	0       	1       	Alien4  	1       	22      	R       
24.0302 	0       	2       	Alien7  	1       	23      	R       
25.03   	0       	3       	Alien4  	1       	24      	R       
26.0299 	0       	1       	Alien8  	1       	25      	R       
27.0298 	0       	2       	Alien6  	1       	26      	R       
28.0297 	0       	3       	Alien5  	1       	27      	R       
29.0295 	0       	1       	Alien8  	1       	28      	R       
30.0294 	0       	2       	Alien6  	1       	29      	R       
31.0293 	0       	3       	Alien5  	1       	30      	R       
32.0292 	0       	1       	Alien10 	1       	31      	R       
33.0291 	0       	2       	Alien12 	1       	32      	R       
34.0289 	0       	3       	Alien2  	1       	33      	R       
35.0288 	0       	1       	Alien11 	1       	34      	R       
36.0287 	0       	2       	Alien7  	1       	35      	R       
37.0286 	0       	3       	Alien9  	1       	36      	R       
38.0284 	0       	1       	Alien4  	1       	37      	R       
39.0283 	0       	2       	Alien12 	1       	38      	R       
40.0282 	0       	3       	Alien8  	1       	39      	R       
41.0281 	0       	1       	Alien11 	1       	40      	R       
42.028  	0       	2       	Alien3  	1       	41      	R       
43.0278 	0       	3       	Alien9  	1       	42      	R       
44.0277 	0       	1       	Alien4  	1       	43      	R       
45.0276 	0       	2       	Alien1  	1       	44      	R       
46.0275 	0       	3       	Alien10 	1       	45      	R       
47.0273 	0       	1       	Alien7  	1       	46      	R       
48.0189 	0       	2       	Alien7  	1       	47      	R       
49.0271 	0       	3       	Alien9  	1       	48      	R       
50.0186 	0       	0       	blank   	0       	0       	B       
51.0185 	0       	0       	blank   	0       	0       	B       
52.0184 	0       	0       	blank   	0       	0       	B       
53.0183 	0       	0       	blank   	0       	0       	B       
54.0182 	0       	0       	blank   	0       	0       	B       
55.018  	0       	0       	blank   	0       	0       	B       
56.0179 	0       	0       	blank   	0       	0       	B       
57.0178 	0       	0       	blank   	0       	0       	B       
58.0177 	0       	0       	blank   	0       	0       	B       
59.0175 	0       	0       	blank   	0       	0       	B       
60.0174 	0       	0       	blank   	0       	0       	B       
61.0173 	0       	0       	blank   	0       	0       	B       
64.0669 	1       	1       	M       	10      	97      	S       
65.0418 	1       	2       	K       	10      	98      	S       
66.0417 	1       	3       	B       	10      	99      	S       
67.0415 	2       	1       	A       	8       	100     	S       
68.0415 	2       	2       	J       	8       	101     	S       
69.033  	2       	3       	F       	8       	102     	S       
70.0328 	4       	1       	E       	9       	103     	S       
71.0327 	4       	2       	L       	9       	104     	S       
72.0326 	4       	3       	H       	9       	105     	S       
73.0325 	3       	1       	D       	9       	106     	S       
74.0324 	3       	2       	G       	9       	107     	S       
75.0323 	3       	3       	C       	9       	108     	S       
76.0321 	2       	1       	A       	9       	109     	S       
77.032  	2       	2       	J       	9       	110     	S       
78.0319 	2       	3       	F       	9       	111     	S       
79.0317 	1       	1       	M       	11      	112     	S       
80.0316 	1       	2       	K       	11      	113     	S       
81.0315 	1       	3       	B       	11      	114     	S       
82.0314 	3       	1       	D       	10      	115     	S       
83.0313 	3       	2       	G       	10      	116     	S       
84.0311 	3       	3       	C       	10      	117     	S       
85.031  	4       	1       	E       	10      	118     	S       
86.0309 	4       	2       	L       	10      	119     	S       
87.0308 	4       	3       	H       	10      	120     	S       
88.0307 	2       	1       	A       	10      	121     	S       
89.0305 	2       	2       	J       	10      	122     	S       
90.0304 	2       	3       	F       	10      	123     	S       
91.0303 	1       	1       	M       	12      	124     	S       
92.0302 	1       	2       	K       	12      	125     	S       
93.0301 	1       	3       	B       	12      	126     	S       
94.0299 	2       	1       	A       	11      	127     	S       
95.0298 	2       	2       	J       	11      	128     	S       
96.0297 	2       	3       	F       	11      	129     	S       
97.0295 	4       	1       	E       	11      	130     	S       
98.0294 	4       	2       	L       	11      	131     	S       
99.0293 	4       	3       	H       	11      	132     	S       
100.0292	3       	1       	D       	11      	133     	S       
101.0291	3       	2       	G       	11      	134     	S       
102.0289	3       	3       	C       	11      	135     	S       
103.0288	4       	1       	E       	12      	136     	S       
104.0287	4       	2       	L       	12      	137     	S       
105.0286	4       	3       	H       	12      	138     	S       
106.0285	3       	1       	D       	12      	139     	S       
107.0283	3       	2       	G       	12      	140     	S       
108.0282	3       	3       	C       	12      	141     	S       
109.0281	2       	1       	A       	12      	142     	S       
110.028 	2       	2       	J       	12      	143     	S       
111.0279	2       	3       	F       	12      	144     	S       
112.0361	0       	0       	blank   	0       	0       	B       
113.0193	0       	0       	blank   	0       	0       	B       
114.0192	0       	0       	blank   	0       	0       	B       
115.019 	0       	0       	blank   	0       	0       	B       
116.0189	0       	0       	blank   	0       	0       	B       
117.0188	0       	0       	blank   	0       	0       	B       
118.0187	0       	0       	blank   	0       	0       	B       
119.0185	0       	0       	blank   	0       	0       	B       
120.0184	0       	0       	blank   	0       	0       	B       
121.0183	0       	0       	blank   	0       	0       	B       
122.0182	0       	0       	blank   	0       	0       	B       
123.0181	0       	0       	blank   	0       	0       	B       
126.051 	0       	1       	Alien7  	1       	49      	R       
127.0342	0       	2       	Alien1  	1       	50      	R       
128.0341	0       	3       	Alien3  	1       	51      	R       
129.034 	0       	1       	Alien10 	1       	52      	R       
130.0339	0       	2       	Alien4  	1       	53      	R       
131.0337	0       	3       	Alien5  	1       	54      	R       
132.0336	0       	1       	Alien12 	1       	55      	R       
133.0335	0       	2       	Alien11 	1       	56      	R       
134.0334	0       	3       	Alien9  	1       	57      	R       
135.0332	0       	1       	Alien10 	1       	58      	R       
136.0331	0       	2       	Alien2  	1       	59      	R       
137.033 	0       	3       	Alien8  	1       	60      	R       
138.0329	0       	1       	Alien7  	1       	61      	R       
139.0328	0       	2       	Alien5  	1       	62      	R       
140.0326	0       	3       	Alien11 	1       	63      	R       
141.0325	0       	1       	Alien12 	1       	64      	R       
142.0324	0       	2       	Alien1  	1       	65      	R       
143.0323	0       	3       	Alien4  	1       	66      	R       
144.0322	0       	1       	Alien9  	1       	67      	R       
145.032 	0       	2       	Alien6  	1       	68      	R       
146.0319	0       	3       	Alien8  	1       	69      	R       
147.0318	0       	1       	Alien2  	1       	70      	R       
148.0317	0       	2       	Alien3  	1       	71      	R       
149.0315	0       	3       	Alien6  	1       	72      	R       
150.0314	0       	1       	Alien7  	1       	73      	R       
151.0313	0       	2       	Alien6  	1       	74      	R       
152.0311	0       	3       	Alien2  	1       	75      	R       
153.031 	0       	1       	Alien8  	1       	76      	R       
154.0226	0       	2       	Alien8  	1       	77      	R       
155.0308	0       	3       	Alien3  	1       	78      	R       
156.0307	0       	1       	Alien10 	1       	79      	R       
157.0306	0       	2       	Alien11 	1       	80      	R       
158.0304	0       	3       	Alien3  	1       	81      	R       
159.0303	0       	1       	Alien2  	1       	82      	R       
160.0302	0       	2       	Alien4  	1       	83      	R       
161.0301	0       	3       	Alien6  	1       	84      	R       
162.0299	0       	1       	Alien11 	1       	85      	R       
163.0298	0       	2       	Alien9  	1       	86      	R       
164.0214	0       	3       	Alien9  	1       	87      	R       
165.0296	0       	1       	Alien7  	1       	88      	R       
166.0295	0       	2       	Alien12 	1       	89      	R       
167.0293	0       	3       	Alien1  	1       	90      	R       
168.0292	0       	1       	Alien4  	1       	91      	R       
169.0291	0       	2       	Alien10 	1       	92      	R       
170.029 	0       	3       	Alien12 	1       	93      	R       
171.0288	0       	1       	Alien5  	1       	94      	R       
172.0204	0       	2       	Alien5  	1       	95      	R       
173.0286	0       	3       	Alien1  	1       	96      	R       
174.0204	0       	0       	blank   	0       	0       	B       
175.02  	0       	0       	blank   	0       	0       	B       
176.0199	0       	0       	blank   	0       	0       	B       
177.0198	0       	0       	blank   	0       	0       	B       
178.0196	0       	0       	blank   	0       	0       	B       
179.0195	0       	0       	blank   	0       	0       	B       
180.0194	0       	0       	blank   	0       	0       	B       
181.0193	0       	0       	blank   	0       	0       	B       
182.0192	0       	0       	blank   	0       	0       	B       
183.019 	0       	0       	blank   	0       	0       	B       
184.0189	0       	0       	blank   	0       	0       	B       
185.0188	0       	0       	blank   	0       	0       	B       
188.0517	0       	1       	Alien7  	1       	97      	R       
189.035 	0       	2       	Alien4  	1       	98      	R       
190.0348	0       	3       	Alien9  	1       	99      	R       
191.0347	0       	1       	Alien11 	1       	100     	R       
192.0346	0       	2       	Alien3  	1       	101     	R       
193.0345	0       	3       	Alien5  	1       	102     	R       
194.0344	0       	1       	Alien8  	1       	103     	R       
195.0342	0       	2       	Alien12 	1       	104     	R       
196.0341	0       	3       	Alien9  	1       	105     	R       
197.034 	0       	1       	Alien8  	1       	106     	R       
198.0339	0       	2       	Alien5  	1       	107     	R       
199.0338	0       	3       	Alien1  	1       	108     	R       
200.0336	0       	1       	Alien10 	1       	109     	R       
201.0335	0       	2       	Alien12 	1       	110     	R       
202.0334	0       	3       	Alien2  	1       	111     	R       
203.0333	0       	1       	Alien10 	1       	112     	R       
204.0331	0       	2       	Alien7  	1       	113     	R       
205.033 	0       	3       	Alien6  	1       	114     	R       
206.0329	0       	1       	Alien2  	1       	115     	R       
207.0328	0       	2       	Alien4  	1       	116     	R       
208.0326	0       	3       	Alien6  	1       	117     	R       
209.0325	0       	1       	Alien3  	1       	118     	R       
210.0324	0       	2       	Alien1  	1       	119     	R       
211.0323	0       	3       	Alien11 	1       	120     	R       
212.0322	0       	1       	Alien1  	1       	121     	R       
213.032 	0       	2       	Alien7  	1       	122     	R       
214.0319	0       	3       	Alien12 	1       	123     	R       
215.0318	0       	1       	Alien4  	1       	124     	R       
216.0317	0       	2       	Alien1  	1       	125     	R       
217.0316	0       	3       	Alien5  	1       	126     	R       
218.0314	0       	1       	Alien3  	1       	127     	R       
219.0313	0       	2       	Alien7  	1       	128     	R       
220.0312	0       	3       	Alien8  	1       	129     	R       
221.0311	0       	1       	Alien3  	1       	130     	R       
222.0226	0       	2       	Alien3  	1       	131     	R       
223.0308	0       	3       	Alien2  	1       	132     	R       
224.0307	0       	1       	Alien10 	1       	133     	R       
225.0306	0       	2       	Alien2  	1       	134     	R       
226.0304	0       	3       	Alien9  	1       	135     	R       
227.0303	0       	1       	Alien2  	1       	136     	R       
228.0302	0       	2       	Alien9  	1       	137     	R       
229.0301	0       	3       	Alien1  	1       	138     	R       
230.03  	0       	1       	Alien11 	1       	139     	R       
231.0298	0       	2       	Alien8  	1       	140     	R       
232.0297	0       	3       	Alien11 	1       	141     	R       
233.0296	0       	1       	Alien6  	1       	142     	R       
234.0295	0       	2       	Alien12 	1       	143     	R       
235.0293	0       	3       	Alien10 	1       	144     	R       
236.0292	0       	0       	blank   	0       	0       	B       
237.0208	0       	0       	blank   	0       	0       	B       
238.0206	0       	0       	blank   	0       	0       	B       
239.0205	0       	0       	blank   	0       	0       	B       
240.0204	0       	0       	blank   	0       	0       	B       
241.0203	0       	0       	blank   	0       	0       	B       
242.0201	0       	0       	blank   	0       	0       	B       
243.02  	0       	0       	blank   	0       	0       	B       
244.0199	0       	0       	blank   	0       	0       	B       
245.0198	0       	0       	blank   	0       	0       	B       
246.0197	0       	0       	blank   	0       	0       	B       
247.0195	0       	0       	blank   	0       	0       	B       
250.0442	1       	1       	M       	1       	1       	S       
251.0357	1       	2       	K       	1       	2       	S       
252.0356	1       	3       	B       	1       	3       	S       
253.0355	2       	1       	A       	1       	4       	S       
254.0353	2       	2       	J       	1       	5       	S       
255.0352	2       	3       	F       	1       	6       	S       
256.0351	3       	1       	D       	1       	7       	S       
257.035 	3       	2       	G       	1       	8       	S       
258.0348	3       	3       	C       	1       	9       	S       
259.0347	1       	1       	M       	2       	10      	S       
260.0346	1       	2       	K       	2       	11      	S       
261.0345	1       	3       	B       	2       	12      	S       
262.0344	4       	1       	E       	1       	13      	S       
263.0342	4       	2       	L       	1       	14      	S       
264.0341	4       	3       	H       	1       	15      	S       
265.034 	2       	1       	A       	2       	16      	S       
266.0339	2       	2       	J       	2       	17      	S       
267.0338	2       	3       	F       	2       	18      	S       
268.0336	3       	1       	D       	2       	19      	S       
269.0335	3       	2       	G       	2       	20      	S       
