,part_id,accuracy_children_lsl_random_2afc_accuracies,accuracy_children_ssl_accuracies,accuracy_children_tsl_accuracies,accuracy_children_vsl_accuracies,accuracy_lsl_predictable_2afc_accuracies,entropy_children_lsl_predictable_entropy,entropy_children_lsl_randomized_entropy,entropy_children_ssl_entropy,entropy_children_tsl_entropy,entropy_children_vsl_entropy,gjt_std_score_gjt_web,rt_children_lsl_indiv_rts,rt_children_ssl_indiv_rts,rt_children_tsl_indiv_rts,rt_children_vsl_indiv_rts,slope_children_lsl_indiv_rts_slope,slope_children_ssl_indiv_rts_slope,slope_children_tsl_indiv_rts_slope,slope_children_vsl_indiv_rts_slope,accuracy_children_lsl_accuracies,entropy_children_lsl_entropy,kbit_matrices_raw,kbit_matrices_std,scq_total,a_prime,scq_web,scq_web_age,rsr_home_raw,rsr_home_standard,rsr_lab_raw,rsr_lab_standard,rsr_raw,rsr_std
1,blast_c_002,NA,0.406,0.531,0.469,0.438,0.93,NA,0.916,0.837,0.477,40,967.333,511.783,93.882,691.238,0.085,0.005,0.001,0.038,0.438,0.93,NA,NA,NA,0.52,28,98,10,50,NA,NA,10,50
3,blast_c_019,NA,0.531,0.562,0.594,0.562,0.977,NA,0.947,0.953,0.947,NA,769.261,436.532,443.276,722.933,0.027,-0.042,-0.005,0.046,0.562,0.977,40,121,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,blast_c_028,NA,0.531,NA,0.531,0.5,1,NA,0.646,NA,0.923,51,741,645.333,NA,722.045,-0.013,0.012,NA,0.073,0.5,1,NA,NA,NA,0.59,13,98,NA,NA,NA,NA,NA,NA
6,blast_c_036,NA,0.5,0.562,0.531,0.594,0.644,NA,0.917,0.905,0.983,81,561,450.838,104.84,347.474,0.023,0.028,-0.009,0.053,0.594,0.644,22,95,15,0.79,23,87,NA,NA,0,40,0,40
7,blast_c_038,NA,0.406,0.844,0.531,0.375,0.954,NA,0.895,0.611,0.882,NA,844.955,551.402,118.667,412.565,0.024,-0.013,-0.024,-0.082,0.375,0.954,NA,NA,NA,0.79,26,118,25,NA,NA,NA,25,NA
8,blast_c_045,NA,0.469,0.906,1,0.844,0.542,NA,0.976,0.329,0,NA,551.458,547.822,464.211,402.542,0.01,0.021,0.006,-0.02,0.844,0.542,NA,NA,NA,0.71,12,118,25,NA,NA,NA,25,NA
9,blast_c_059,NA,0.438,0.594,0.531,0.562,0.977,NA,0.934,0.869,0.646,NA,869.812,702.166,39.087,465,0.067,-0.003,-0.012,0.039,0.562,0.977,26,98,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,blast_c_071,NA,0.688,0.656,0.469,0.719,0.816,NA,0.837,0.9,0.934,94,471.565,336.13,177.419,456.125,-0.016,-0.019,-0.02,-0.047,0.719,0.816,35,128,7,0.88,10,81,25,98,NA,NA,25,98
13,blast_c_085,NA,0.5,0.5,0.438,NA,NA,NA,0.678,0.983,0.934,70,NA,510.392,235.075,663.5,NA,-0.002,-0.004,-0.01,NA,NA,NA,NA,NA,0.79,27,90,23,76,NA,NA,23,76
15,blast_c_092,NA,0.438,0.656,0.781,0.625,0.883,NA,0.947,0.816,0.711,88,695.957,336.036,282.071,590.696,-0.005,-0.021,0.024,-0.058,0.625,0.883,25,113,14,0.79,19,58,22,111,NA,NA,22,111
16,blast_c_095,NA,0.625,0.531,0.438,0.781,0.644,NA,0.929,0.905,0.936,81,356.625,303.457,338.434,486.739,0.007,-0.051,0.027,0.04,0.781,0.644,38,133,15,0.79,30,85,NA,NA,NA,NA,NA,NA
22,blast_c_118,NA,NA,0.5,0.5,0.531,0.839,NA,NA,0.983,0.945,69,666.167,NA,163.217,486.435,0.055,NA,-0.003,-0.009,0.531,0.839,25,103,15,0.5,23,69,1,40,NA,NA,1,40
28,blast_c_147,NA,0.469,0.438,0.906,0.969,0.136,NA,0.983,0.882,0.41,70,622.917,390.871,281.006,541.045,-0.031,0.025,0.027,-0.025,0.969,0.136,35,116,16,0.79,15,100,NA,NA,24,NA,24,NA
29,blast_c_149,NA,0.562,0.406,0.344,0.594,0.941,NA,0.923,0.964,0.89,45,965.667,545.333,-10.4,738.773,0.058,0.041,0.021,-0.038,0.594,0.941,16,89,21,0.5,26,47,5,69,NA,NA,5,69
32,blast_c_168,0.469,0.469,0.438,0.344,NA,NA,0.612,0.983,0.983,0.678,NA,616.895,506.631,49.694,491.957,0.005,0.009,-0.026,0.058,0.469,0.612,34,106,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,blast_c_193,0.406,0.562,0.406,0.5,NA,NA,0.85,0.884,0.815,0.849,NA,866.5,51.596,27.448,262.875,-0.007,-0.027,-0.043,-0.062,0.406,0.85,25,105,19,NA,28,83,17,80,NA,NA,17,80
37,blast_c_206,0.531,0.562,0.719,0.906,NA,NA,0.994,0.697,0.843,0.41,NA,418.391,568.098,183.897,508.522,-0.031,0.003,0.001,0.03,0.531,0.994,30,115,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,blast_c_209,0.625,0.5,0.406,0.625,NA,NA,0.869,0.971,0.936,0.887,NA,546.875,597.818,313.333,504.444,-0.115,-0.026,-0.037,0.001,0.625,0.869,20,94,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,blast_c_210,0.625,0.531,0.531,0.375,NA,NA,0.82,0.983,0.941,0.849,NA,433.783,128.571,555,537.909,0.01,-0.062,0.045,0.016,0.625,0.82,30,102,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,blast_c_211,0.5,NA,0.5,0.5,NA,NA,0.977,NA,0.954,0.977,NA,787,NA,335.694,654.429,0.039,NA,-0.028,-0.052,0.5,0.977,21,101,0,NA,NA,NA,NA,NA,12,74,12,74
