"ans","subj","key","trial_order","corr","task"
2,"blast_c_002",1,1,0,"lsl"
1,"blast_c_002",1,2,1,"lsl"
2,"blast_c_002",1,3,0,"lsl"
2,"blast_c_002",1,4,0,"lsl"
1,"blast_c_002",1,5,1,"lsl"
2,"blast_c_002",1,6,0,"lsl"
2,"blast_c_002",1,7,0,"lsl"
1,"blast_c_002",1,8,1,"lsl"
1,"blast_c_002",1,9,1,"lsl"
2,"blast_c_002",1,10,0,"lsl"
2,"blast_c_002",1,11,0,"lsl"
1,"blast_c_002",1,12,1,"lsl"
2,"blast_c_002",1,13,0,"lsl"
1,"blast_c_002",1,14,1,"lsl"
2,"blast_c_002",1,15,0,"lsl"
2,"blast_c_002",1,16,0,"lsl"
1,"blast_c_002",2,17,0,"lsl"
1,"blast_c_002",2,18,0,"lsl"
2,"blast_c_002",2,19,1,"lsl"
1,"blast_c_002",2,20,0,"lsl"
2,"blast_c_002",2,21,1,"lsl"
1,"blast_c_002",2,22,0,"lsl"
2,"blast_c_002",2,23,1,"lsl"
1,"blast_c_002",2,24,0,"lsl"
2,"blast_c_002",2,25,1,"lsl"
1,"blast_c_002",2,26,0,"lsl"
2,"blast_c_002",2,27,1,"lsl"
2,"blast_c_002",2,28,1,"lsl"
1,"blast_c_002",2,29,0,"lsl"
2,"blast_c_002",2,30,1,"lsl"
2,"blast_c_002",2,31,1,"lsl"
1,"blast_c_002",2,32,0,"lsl"
2,"blast_c_009",1,1,0,"lsl"
1,"blast_c_009",1,2,1,"lsl"
1,"blast_c_009",1,3,1,"lsl"
1,"blast_c_009",1,4,1,"lsl"
1,"blast_c_009",1,5,1,"lsl"
1,"blast_c_009",1,6,1,"lsl"
1,"blast_c_009",1,7,1,"lsl"
1,"blast_c_009",1,8,1,"lsl"
2,"blast_c_009",1,9,0,"lsl"
1,"blast_c_009",1,10,1,"lsl"
1,"blast_c_009",1,11,1,"lsl"
1,"blast_c_009",1,12,1,"lsl"
2,"blast_c_009",1,13,0,"lsl"
1,"blast_c_009",1,14,1,"lsl"
1,"blast_c_009",1,15,1,"lsl"
1,"blast_c_009",1,16,1,"lsl"
1,"blast_c_009",2,17,0,"lsl"
2,"blast_c_009",2,18,1,"lsl"
2,"blast_c_009",2,19,1,"lsl"
2,"blast_c_009",2,20,1,"lsl"
2,"blast_c_009",2,21,1,"lsl"
2,"blast_c_009",2,22,1,"lsl"
2,"blast_c_009",2,23,1,"lsl"
2,"blast_c_009",2,24,1,"lsl"
1,"blast_c_009",2,25,0,"lsl"
2,"blast_c_009",2,26,1,"lsl"
2,"blast_c_009",2,27,1,"lsl"
2,"blast_c_009",2,28,1,"lsl"
2,"blast_c_009",2,29,1,"lsl"
2,"blast_c_009",2,30,1,"lsl"
2,"blast_c_009",2,31,1,"lsl"
2,"blast_c_009",2,32,1,"lsl"
1,"blast_c_019",1,1,1,"lsl"
1,"blast_c_019",1,2,1,"lsl"
2,"blast_c_019",1,3,0,"lsl"
2,"blast_c_019",1,4,0,"lsl"
2,"blast_c_019",1,5,0,"lsl"
1,"blast_c_019",1,6,1,"lsl"
2,"blast_c_019",1,7,0,"lsl"
1,"blast_c_019",1,8,1,"lsl"
2,"blast_c_019",1,9,0,"lsl"
1,"blast_c_019",1,10,1,"lsl"
1,"blast_c_019",1,11,1,"lsl"
1,"blast_c_019",1,12,1,"lsl"
2,"blast_c_019",1,13,0,"lsl"
1,"blast_c_019",1,14,1,"lsl"
1,"blast_c_019",1,15,1,"lsl"
1,"blast_c_019",1,16,1,"lsl"
2,"blast_c_019",2,17,1,"lsl"
1,"blast_c_019",2,18,0,"lsl"
1,"blast_c_019",2,19,0,"lsl"
2,"blast_c_019",2,20,1,"lsl"
2,"blast_c_019",2,21,1,"lsl"
1,"blast_c_019",2,22,0,"lsl"
2,"blast_c_019",2,23,1,"lsl"
2,"blast_c_019",2,24,1,"lsl"
1,"blast_c_019",2,25,0,"lsl"
1,"blast_c_019",2,26,0,"lsl"
2,"blast_c_019",2,27,1,"lsl"
1,"blast_c_019",2,28,0,"lsl"
2,"blast_c_019",2,29,1,"lsl"
1,"blast_c_019",2,30,0,"lsl"
1,"blast_c_019",2,31,0,"lsl"
2,"blast_c_019",2,32,1,"lsl"
1,"blast_c_028",1,1,1,"lsl"
2,"blast_c_028",1,2,0,"lsl"
1,"blast_c_028",1,3,1,"lsl"
2,"blast_c_028",1,4,0,"lsl"
1,"blast_c_028",1,5,1,"lsl"
2,"blast_c_028",1,6,0,"lsl"
1,"blast_c_028",1,7,1,"lsl"
2,"blast_c_028",1,8,0,"lsl"
1,"blast_c_028",1,9,1,"lsl"
2,"blast_c_028",1,10,0,"lsl"
2,"blast_c_028",1,11,0,"lsl"
1,"blast_c_028",1,12,1,"lsl"
2,"blast_c_028",1,13,0,"lsl"
1,"blast_c_028",1,14,1,"lsl"
2,"blast_c_028",1,15,0,"lsl"
1,"blast_c_028",1,16,1,"lsl"
2,"blast_c_028",2,17,1,"lsl"
1,"blast_c_028",2,18,0,"lsl"
2,"blast_c_028",2,19,1,"lsl"
1,"blast_c_028",2,20,0,"lsl"
2,"blast_c_028",2,21,1,"lsl"
1,"blast_c_028",2,22,0,"lsl"
2,"blast_c_028",2,23,1,"lsl"
1,"blast_c_028",2,24,0,"lsl"
2,"blast_c_028",2,25,1,"lsl"
1,"blast_c_028",2,26,0,"lsl"
1,"blast_c_028",2,27,0,"lsl"
2,"blast_c_028",2,28,1,"lsl"
1,"blast_c_028",2,29,0,"lsl"
2,"blast_c_028",2,30,1,"lsl"
1,"blast_c_028",2,31,0,"lsl"
2,"blast_c_028",2,32,1,"lsl"
2,"blast_c_034",1,1,0,"lsl"
1,"blast_c_034",1,2,1,"lsl"
1,"blast_c_034",1,3,1,"lsl"
2,"blast_c_034",1,4,0,"lsl"
1,"blast_c_034",1,5,1,"lsl"
2,"blast_c_034",1,6,0,"lsl"
1,"blast_c_034",1,7,1,"lsl"
1,"blast_c_034",1,8,1,"lsl"
2,"blast_c_034",1,9,0,"lsl"
1,"blast_c_034",1,10,1,"lsl"
2,"blast_c_034",1,11,0,"lsl"
1,"blast_c_034",1,12,1,"lsl"
2,"blast_c_034",1,13,0,"lsl"
1,"blast_c_034",1,14,1,"lsl"
1,"blast_c_034",1,15,1,"lsl"
1,"blast_c_034",1,16,1,"lsl"
2,"blast_c_034",2,17,1,"lsl"
2,"blast_c_034",2,18,1,"lsl"
1,"blast_c_034",2,19,0,"lsl"
2,"blast_c_034",2,20,1,"lsl"
2,"blast_c_034",2,21,1,"lsl"
2,"blast_c_034",2,22,1,"lsl"
1,"blast_c_034",2,23,0,"lsl"
2,"blast_c_034",2,24,1,"lsl"
1,"blast_c_034",2,25,0,"lsl"
2,"blast_c_034",2,26,1,"lsl"
1,"blast_c_034",2,27,0,"lsl"
2,"blast_c_034",2,28,1,"lsl"
1,"blast_c_034",2,29,0,"lsl"
2,"blast_c_034",2,30,1,"lsl"
2,"blast_c_034",2,31,1,"lsl"
1,"blast_c_034",2,32,0,"lsl"
1,"blast_c_036",1,1,1,"lsl"
1,"blast_c_036",1,2,1,"lsl"
1,"blast_c_036",1,3,1,"lsl"
1,"blast_c_036",1,4,1,"lsl"
2,"blast_c_036",1,5,0,"lsl"
1,"blast_c_036",1,6,1,"lsl"
1,"blast_c_036",1,7,1,"lsl"
1,"blast_c_036",1,8,1,"lsl"
2,"blast_c_036",1,9,0,"lsl"
1,"blast_c_036",1,10,1,"lsl"
1,"blast_c_036",1,11,1,"lsl"
2,"blast_c_036",1,12,0,"lsl"
2,"blast_c_036",1,13,0,"lsl"
1,"blast_c_036",1,14,1,"lsl"
2,"blast_c_036",1,15,0,"lsl"
1,"blast_c_036",1,16,1,"lsl"
2,"blast_c_036",2,17,1,"lsl"
2,"blast_c_036",2,18,1,"lsl"
2,"blast_c_036",2,19,1,"lsl"
2,"blast_c_036",2,20,1,"lsl"
1,"blast_c_036",2,21,0,"lsl"
1,"blast_c_036",2,22,0,"lsl"
1,"blast_c_036",2,23,0,"lsl"
1,"blast_c_036",2,24,0,"lsl"
1,"blast_c_036",2,25,0,"lsl"
1,"blast_c_036",2,26,0,"lsl"
1,"blast_c_036",2,27,0,"lsl"
1,"blast_c_036",2,28,0,"lsl"
2,"blast_c_036",2,29,1,"lsl"
2,"blast_c_036",2,30,1,"lsl"
2,"blast_c_036",2,31,1,"lsl"
2,"blast_c_036",2,32,1,"lsl"
2,"blast_c_038",1,1,0,"lsl"
2,"blast_c_038",1,2,0,"lsl"
1,"blast_c_038",1,3,1,"lsl"
2,"blast_c_038",1,4,0,"lsl"
2,"blast_c_038",1,5,0,"lsl"
1,"blast_c_038",1,6,1,"lsl"
1,"blast_c_038",1,7,1,"lsl"
2,"blast_c_038",1,8,0,"lsl"
2,"blast_c_038",1,9,0,"lsl"
2,"blast_c_038",1,10,0,"lsl"
2,"blast_c_038",1,11,0,"lsl"
1,"blast_c_038",1,12,1,"lsl"
2,"blast_c_038",1,13,0,"lsl"
1,"blast_c_038",1,14,1,"lsl"
2,"blast_c_038",1,15,0,"lsl"
2,"blast_c_038",1,16,0,"lsl"
1,"blast_c_038",2,17,0,"lsl"
2,"blast_c_038",2,18,1,"lsl"
1,"blast_c_038",2,19,0,"lsl"
2,"blast_c_038",2,20,1,"lsl"
1,"blast_c_038",2,21,0,"lsl"
1,"blast_c_038",2,22,0,"lsl"
1,"blast_c_038",2,23,0,"lsl"
2,"blast_c_038",2,24,1,"lsl"
1,"blast_c_038",2,25,0,"lsl"
2,"blast_c_038",2,26,1,"lsl"
1,"blast_c_038",2,27,0,"lsl"
2,"blast_c_038",2,28,1,"lsl"
2,"blast_c_038",2,29,1,"lsl"
1,"blast_c_038",2,30,0,"lsl"
1,"blast_c_038",2,31,0,"lsl"
2,"blast_c_038",2,32,1,"lsl"
1,"blast_c_045",1,1,1,"lsl"
1,"blast_c_045",1,2,1,"lsl"
1,"blast_c_045",1,3,1,"lsl"
1,"blast_c_045",1,4,1,"lsl"
1,"blast_c_045",1,5,1,"lsl"
1,"blast_c_045",1,6,1,"lsl"
1,"blast_c_045",1,7,1,"lsl"
1,"blast_c_045",1,8,1,"lsl"
1,"blast_c_045",1,9,1,"lsl"
1,"blast_c_045",1,10,1,"lsl"
1,"blast_c_045",1,11,1,"lsl"
1,"blast_c_045",1,12,1,"lsl"
1,"blast_c_045",1,13,1,"lsl"
2,"blast_c_045",1,14,0,"lsl"
1,"blast_c_045",1,15,1,"lsl"
2,"blast_c_045",1,16,0,"lsl"
2,"blast_c_045",2,17,1,"lsl"
2,"blast_c_045",2,18,1,"lsl"
2,"blast_c_045",2,19,1,"lsl"
2,"blast_c_045",2,20,1,"lsl"
1,"blast_c_045",2,21,0,"lsl"
2,"blast_c_045",2,22,1,"lsl"
2,"blast_c_045",2,23,1,"lsl"
2,"blast_c_045",2,24,1,"lsl"
2,"blast_c_045",2,25,1,"lsl"
1,"blast_c_045",2,26,0,"lsl"
1,"blast_c_045",2,27,0,"lsl"
2,"blast_c_045",2,28,1,"lsl"
2,"blast_c_045",2,29,1,"lsl"
2,"blast_c_045",2,30,1,"lsl"
2,"blast_c_045",2,31,1,"lsl"
2,"blast_c_045",2,32,1,"lsl"
1,"blast_c_059",1,1,1,"lsl"
2,"blast_c_059",1,2,0,"lsl"
1,"blast_c_059",1,3,1,"lsl"
2,"blast_c_059",1,4,0,"lsl"
1,"blast_c_059",1,5,1,"lsl"
1,"blast_c_059",1,6,1,"lsl"
2,"blast_c_059",1,7,0,"lsl"
1,"blast_c_059",1,8,1,"lsl"
1,"blast_c_059",1,9,1,"lsl"
2,"blast_c_059",1,10,0,"lsl"
2,"blast_c_059",1,11,0,"lsl"
1,"blast_c_059",1,12,1,"lsl"
2,"blast_c_059",1,13,0,"lsl"
1,"blast_c_059",1,14,1,"lsl"
1,"blast_c_059",1,15,1,"lsl"
2,"blast_c_059",1,16,0,"lsl"
2,"blast_c_059",2,17,1,"lsl"
1,"blast_c_059",2,18,0,"lsl"
1,"blast_c_059",2,19,0,"lsl"
2,"blast_c_059",2,20,1,"lsl"
1,"blast_c_059",2,21,0,"lsl"
2,"blast_c_059",2,22,1,"lsl"
1,"blast_c_059",2,23,0,"lsl"
2,"blast_c_059",2,24,1,"lsl"
2,"blast_c_059",2,25,1,"lsl"
2,"blast_c_059",2,26,1,"lsl"
1,"blast_c_059",2,27,0,"lsl"
2,"blast_c_059",2,28,1,"lsl"
2,"blast_c_059",2,29,1,"lsl"
1,"blast_c_059",2,30,0,"lsl"
1,"blast_c_059",2,31,0,"lsl"
2,"blast_c_059",2,32,1,"lsl"
1,"blast_c_061",1,1,1,"lsl"
2,"blast_c_061",1,2,0,"lsl"
1,"blast_c_061",1,3,1,"lsl"
2,"blast_c_061",1,4,0,"lsl"
1,"blast_c_061",1,5,1,"lsl"
2,"blast_c_061",1,6,0,"lsl"
1,"blast_c_061",1,7,1,"lsl"
2,"blast_c_061",1,8,0,"lsl"
1,"blast_c_061",1,9,1,"lsl"
2,"blast_c_061",1,10,0,"lsl"
1,"blast_c_061",1,11,1,"lsl"
2,"blast_c_061",1,12,0,"lsl"
2,"blast_c_061",1,13,0,"lsl"
1,"blast_c_061",1,14,1,"lsl"
2,"blast_c_061",1,15,0,"lsl"
1,"blast_c_061",1,16,1,"lsl"
2,"blast_c_061",2,17,1,"lsl"
2,"blast_c_061",2,18,1,"lsl"
1,"blast_c_061",2,19,0,"lsl"
2,"blast_c_061",2,20,1,"lsl"
1,"blast_c_061",2,21,0,"lsl"
2,"blast_c_061",2,22,1,"lsl"
2,"blast_c_061",2,23,1,"lsl"
1,"blast_c_061",2,24,0,"lsl"
2,"blast_c_061",2,25,1,"lsl"
1,"blast_c_061",2,26,0,"lsl"
2,"blast_c_061",2,27,1,"lsl"
1,"blast_c_061",2,28,0,"lsl"
2,"blast_c_061",2,29,1,"lsl"
1,"blast_c_061",2,30,0,"lsl"
2,"blast_c_061",2,31,1,"lsl"
1,"blast_c_061",2,32,0,"lsl"
1,"blast_c_071",1,1,1,"lsl"
2,"blast_c_071",1,2,0,"lsl"
1,"blast_c_071",1,3,1,"lsl"
2,"blast_c_071",1,4,0,"lsl"
2,"blast_c_071",1,5,0,"lsl"
1,"blast_c_071",1,6,1,"lsl"
2,"blast_c_071",1,7,0,"lsl"
1,"blast_c_071",1,8,1,"lsl"
2,"blast_c_071",1,9,0,"lsl"
1,"blast_c_071",1,10,1,"lsl"
1,"blast_c_071",1,11,1,"lsl"
1,"blast_c_071",1,12,1,"lsl"
2,"blast_c_071",1,13,0,"lsl"
2,"blast_c_071",1,14,0,"lsl"
1,"blast_c_071",1,15,1,"lsl"
2,"blast_c_071",1,16,0,"lsl"
2,"blast_c_071",2,17,1,"lsl"
1,"blast_c_071",2,18,0,"lsl"
2,"blast_c_071",2,19,1,"lsl"
2,"blast_c_071",2,20,1,"lsl"
2,"blast_c_071",2,21,1,"lsl"
2,"blast_c_071",2,22,1,"lsl"
2,"blast_c_071",2,23,1,"lsl"
2,"blast_c_071",2,24,1,"lsl"
2,"blast_c_071",2,25,1,"lsl"
2,"blast_c_071",2,26,1,"lsl"
2,"blast_c_071",2,27,1,"lsl"
2,"blast_c_071",2,28,1,"lsl"
2,"blast_c_071",2,29,1,"lsl"
2,"blast_c_071",2,30,1,"lsl"
2,"blast_c_071",2,31,1,"lsl"
2,"blast_c_071",2,32,1,"lsl"
