"","r.age_at_web_year","r.rsr_raw","r.rsr_std","r.rbs_r","r.scq_web","r.composite_lsl","r.composite_ssl","r.composite_vsl","r.composite_tsl","r.composite_ling","r.composite_nonling"
"age_at_web_year",1,0.431713324562668,0.165511797222704,NA,NA,0.13070881704016,0.30616842496417,-0.0953110908710335,0.299661375460608,0.211324444275773,0.106886780050075
"rsr_raw",0.431713324562668,1,0.929952105392788,NA,NA,0.0961908927889679,0.22699072182165,-0.0139123666558442,0.141356439173706,0.121208123817257,0.00282435215411454
"rsr_std",0.165511797222704,0.929952105392788,1,NA,NA,0.0729633736810997,0.0767499239755567,0.0213100223643063,0.0930549808451247,0.0283741575354535,0.0132087015284253
"rbs_r",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"scq_web",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"composite_lsl",0.13070881704016,0.0961908927889679,0.0729633736810997,NA,NA,1,0.479855528257091,0.442826965923458,0.158864458491329,0.883139246324669,0.40792500268817
"composite_ssl",0.30616842496417,0.22699072182165,0.0767499239755567,NA,NA,0.479855528257091,1,0.133482144668241,-0.0386425082057968,0.855243367665195,0.0958044517983845
"composite_vsl",-0.0953110908710335,-0.0139123666558442,0.0213100223643063,NA,NA,0.442826965923458,0.133482144668241,1,0.0383903082393037,0.29743618451261,0.780309895164551
"composite_tsl",0.299661375460608,0.141356439173706,0.0930549808451247,NA,NA,0.158864458491329,-0.0386425082057968,0.0383903082393037,1,0.0888097355762901,0.658615457550474
"composite_ling",0.211324444275773,0.121208123817257,0.0283741575354535,NA,NA,0.883139246324669,0.855243367665195,0.29743618451261,0.0888097355762901,1,0.27700129689359
"composite_nonling",0.106886780050075,0.00282435215411454,0.0132087015284253,NA,NA,0.40792500268817,0.0958044517983845,0.780309895164551,0.658615457550474,0.27700129689359,1
