"","ans","subj","key","trial_order","corr"
"1","1","spoli_c_008",1,1,1
"2","1","spoli_c_008",1,2,1
"3","2","spoli_c_008",2,3,1
"4","2","spoli_c_008",1,4,0
"5","2","spoli_c_008",1,5,0
"6","2","spoli_c_008",1,6,0
"7","1","spoli_c_008",2,7,0
"8","2","spoli_c_008",2,8,1
"9","2","spoli_c_008",2,9,1
"10","2","spoli_c_008",2,10,1
"11","1","spoli_c_008",1,11,1
"12","2","spoli_c_008",1,12,0
"13","1","spoli_c_008",1,13,1
"14","2","spoli_c_008",2,14,1
"15","1","spoli_c_008",2,15,0
"16","2","spoli_c_008",1,16,0
"17","1","spoli_c_008",2,17,0
"18","2","spoli_c_008",2,18,1
"19","1","spoli_c_008",1,19,1
"20","2","spoli_c_008",1,20,0
"21","2","spoli_c_008",2,21,1
"22","2","spoli_c_008",1,22,0
"23","2","spoli_c_008",2,23,1
"24","1","spoli_c_008",1,24,1
"25","2","spoli_c_008",2,25,1
"26","1","spoli_c_008",1,26,1
"27","2","spoli_c_008",2,27,1
"28","1","spoli_c_008",1,28,1
"29","2","spoli_c_008",1,29,0
"30","2","spoli_c_008",2,30,1
"31","2","spoli_c_008",2,31,1
"32","1","spoli_c_008",2,32,0
"33","2","spoli_c_019",1,1,0
"34","2","spoli_c_019",1,2,0
"35","2","spoli_c_019",2,3,1
"36","2","spoli_c_019",1,4,0
"37","1","spoli_c_019",1,5,1
"38","1","spoli_c_019",1,6,1
"39","1","spoli_c_019",2,7,0
"40","1","spoli_c_019",2,8,0
"41","1","spoli_c_019",2,9,0
"42","2","spoli_c_019",2,10,1
"43","2","spoli_c_019",1,11,0
"44","1","spoli_c_019",1,12,1
"45","2","spoli_c_019",1,13,0
"46","2","spoli_c_019",2,14,1
"47","2","spoli_c_019",2,15,1
"48","1","spoli_c_019",1,16,1
"49","2","spoli_c_019",2,17,1
"50","1","spoli_c_019",2,18,0
"51","1","spoli_c_019",1,19,1
"52","2","spoli_c_019",1,20,0
"53","2","spoli_c_019",2,21,1
"54","2","spoli_c_019",1,22,0
"55","2","spoli_c_019",2,23,1
"56","1","spoli_c_019",1,24,1
"57","1","spoli_c_019",2,25,0
"58","2","spoli_c_019",1,26,0
"59","1","spoli_c_019",2,27,0
"60","1","spoli_c_019",1,28,1
"61","1","spoli_c_019",1,29,1
"62","2","spoli_c_019",2,30,1
"63","2","spoli_c_019",2,31,1
"64","2","spoli_c_019",2,32,1
"65","1","spoli_c_054",1,1,1
"66","1","spoli_c_054",1,2,1
"67","2","spoli_c_054",2,3,1
"68","1","spoli_c_054",1,4,1
"69","1","spoli_c_054",1,5,1
"70","1","spoli_c_054",1,6,1
"71","1","spoli_c_054",2,7,0
"72","2","spoli_c_054",2,8,1
"73","1","spoli_c_054",2,9,0
"74","2","spoli_c_054",2,10,1
"75","1","spoli_c_054",1,11,1
"76","1","spoli_c_054",1,12,1
"77","1","spoli_c_054",1,13,1
"78","2","spoli_c_054",2,14,1
"79","2","spoli_c_054",2,15,1
"80","1","spoli_c_054",1,16,1
"81","2","spoli_c_054",2,17,1
"82","1","spoli_c_054",2,18,0
"83","2","spoli_c_054",1,19,0
"84","1","spoli_c_054",1,20,1
"85","1","spoli_c_054",2,21,0
"86","1","spoli_c_054",1,22,1
"87","2","spoli_c_054",2,23,1
"88","1","spoli_c_054",1,24,1
"89","1","spoli_c_054",2,25,0
"90","1","spoli_c_054",1,26,1
"91","2","spoli_c_054",2,27,1
"92","1","spoli_c_054",1,28,1
"93","1","spoli_c_054",1,29,1
"94","1","spoli_c_054",2,30,0
"95","2","spoli_c_054",2,31,1
"96","2","spoli_c_054",2,32,1
"97","1","spoli_c_076",1,1,1
"98","2","spoli_c_076",1,2,0
"99","1","spoli_c_076",2,3,0
"100","2","spoli_c_076",1,4,0
"101","1","spoli_c_076",1,5,1
"102","2","spoli_c_076",1,6,0
"103","2","spoli_c_076",2,7,1
"104","1","spoli_c_076",2,8,0
"105","1","spoli_c_076",2,9,0
"106","1","spoli_c_076",2,10,0
"107","2","spoli_c_076",1,11,0
"108","1","spoli_c_076",1,12,1
"109","2","spoli_c_076",1,13,0
"110","1","spoli_c_076",2,14,0
"111","2","spoli_c_076",2,15,1
"112","1","spoli_c_076",1,16,1
"113","1","spoli_c_076",2,17,0
"114","1","spoli_c_076",2,18,0
"115","1","spoli_c_076",1,19,1
"116","1","spoli_c_076",1,20,1
"117","1","spoli_c_076",2,21,0
"118","1","spoli_c_076",1,22,1
"119","1","spoli_c_076",2,23,0
"120","1","spoli_c_076",1,24,1
"121","1","spoli_c_076",2,25,0
"122","1","spoli_c_076",1,26,1
"123","1","spoli_c_076",2,27,0
"124","2","spoli_c_076",1,28,0
"125","1","spoli_c_076",1,29,1
"126","2","spoli_c_076",2,30,1
"127","2","spoli_c_076",2,31,1
"128","1","spoli_c_076",2,32,0
"129","1","spoli_c_078",1,1,1
"130","2","spoli_c_078",1,2,0
"131","2","spoli_c_078",2,3,1
"132","1","spoli_c_078",1,4,1
"133","2","spoli_c_078",1,5,0
"134","2","spoli_c_078",1,6,0
"135","2","spoli_c_078",2,7,1
"136","1","spoli_c_078",2,8,0
"137","2","spoli_c_078",2,9,1
"138","1","spoli_c_078",2,10,0
"139","1","spoli_c_078",1,11,1
"140","1","spoli_c_078",1,12,1
"141","2","spoli_c_078",1,13,0
"142","1","spoli_c_078",2,14,0
"143","2","spoli_c_078",2,15,1
"144","1","spoli_c_078",1,16,1
"145","1","spoli_c_078",2,17,0
"146","1","spoli_c_078",2,18,0
"147","1","spoli_c_078",1,19,1
"148","1","spoli_c_078",1,20,1
"149","2","spoli_c_078",2,21,1
"150","2","spoli_c_078",1,22,0
"151","1","spoli_c_078",2,23,0
"152","1","spoli_c_078",1,24,1
"153","2","spoli_c_078",2,25,1
"154","1","spoli_c_078",1,26,1
"155","1","spoli_c_078",2,27,0
"156","2","spoli_c_078",1,28,0
"157","1","spoli_c_078",1,29,1
"158","2","spoli_c_078",2,30,1
"159","2","spoli_c_078",2,31,1
"160","1","spoli_c_078",2,32,0
"161","1","spoli_c_088",1,1,1
"162","1","spoli_c_088",1,2,1
"163","2","spoli_c_088",2,3,1
"164","2","spoli_c_088",1,4,0
"165","1","spoli_c_088",1,5,1
"166","2","spoli_c_088",1,6,0
"167","2","spoli_c_088",2,7,1
"168","1","spoli_c_088",2,8,0
"169","1","spoli_c_088",2,9,0
"170","1","spoli_c_088",2,10,0
"171","1","spoli_c_088",1,11,1
"172","1","spoli_c_088",1,12,1
"173","2","spoli_c_088",1,13,0
"174","1","spoli_c_088",2,14,0
"175","2","spoli_c_088",2,15,1
"176","1","spoli_c_088",1,16,1
"177","1","spoli_c_088",2,17,0
"178","1","spoli_c_088",2,18,0
"179","2","spoli_c_088",1,19,0
"180","1","spoli_c_088",1,20,1
"181","1","spoli_c_088",2,21,0
"182","1","spoli_c_088",1,22,1
"183","2","spoli_c_088",2,23,1
"184","2","spoli_c_088",1,24,0
"185","1","spoli_c_088",2,25,0
"186","1","spoli_c_088",1,26,1
"187","1","spoli_c_088",2,27,0
"188","1","spoli_c_088",1,28,1
"189","1","spoli_c_088",1,29,1
"190","2","spoli_c_088",2,30,1
"191","1","spoli_c_088",2,31,0
"192","2","spoli_c_088",2,32,1
"193","2","spoli_c_093",1,1,0
"194","1","spoli_c_093",1,2,1
"195","2","spoli_c_093",2,3,1
"196","2","spoli_c_093",1,4,0
"197","1","spoli_c_093",1,5,1
"198","2","spoli_c_093",1,6,0
"199","2","spoli_c_093",2,7,1
"200","2","spoli_c_093",2,8,1
"201","2","spoli_c_093",2,9,1
"202","2","spoli_c_093",2,10,1
"203","2","spoli_c_093",1,11,0
"204","2","spoli_c_093",1,12,0
"205","2","spoli_c_093",1,13,0
"206","2","spoli_c_093",2,14,1
"207","2","spoli_c_093",2,15,1
"208","2","spoli_c_093",1,16,0
"209","2","spoli_c_093",2,17,1
