"","ans","subj","key","trial_order","corr"
"1","1","spoli_c_008",1,1,1
"2","1","spoli_c_008",1,2,1
"3","2","spoli_c_008",2,3,1
"4","2","spoli_c_008",1,4,0
"5","1","spoli_c_008",1,5,1
"6","1","spoli_c_008",1,6,1
"7","2","spoli_c_008",2,7,1
"8","1","spoli_c_008",2,8,0
"9","1","spoli_c_008",2,9,0
"10","2","spoli_c_008",2,10,1
"11","2","spoli_c_008",1,11,0
"12","1","spoli_c_008",1,12,1
"13","1","spoli_c_008",1,13,1
"14","2","spoli_c_008",2,14,1
"15","1","spoli_c_008",2,15,0
"16","2","spoli_c_008",1,16,0
"17","1","spoli_c_008",2,17,0
"18","2","spoli_c_008",2,18,1
"19","1","spoli_c_008",1,19,1
"20","2","spoli_c_008",1,20,0
"21","2","spoli_c_008",2,21,1
"22","1","spoli_c_008",1,22,1
"23","2","spoli_c_008",2,23,1
"24","1","spoli_c_008",1,24,1
"25","2","spoli_c_008",2,25,1
"26","1","spoli_c_008",1,26,1
"27","2","spoli_c_008",2,27,1
"28","2","spoli_c_008",1,28,0
"29","2","spoli_c_008",1,29,0
"30","1","spoli_c_008",2,30,0
"31","2","spoli_c_008",2,31,1
"32","1","spoli_c_008",2,32,0
"33","2","spoli_c_014",1,1,0
"34","2","spoli_c_014",1,2,0
"35","2","spoli_c_014",2,3,1
"36","1","spoli_c_014",1,4,1
"37","1","spoli_c_014",1,5,1
"38","1","spoli_c_014",1,6,1
"39","2","spoli_c_014",2,7,1
"40","1","spoli_c_014",2,8,0
"41","2","spoli_c_014",2,9,1
"42","1","spoli_c_014",2,10,0
"43","1","spoli_c_014",1,11,1
"44","1","spoli_c_014",1,12,1
"45","1","spoli_c_014",1,13,1
"46","2","spoli_c_014",2,14,1
"47","1","spoli_c_014",2,15,0
"48","2","spoli_c_014",1,16,0
"49","1","spoli_c_014",2,17,0
"50","1","spoli_c_014",2,18,0
"51","2","spoli_c_014",1,19,0
"52","1","spoli_c_014",1,20,1
"53","1","spoli_c_014",2,21,0
"54","1","spoli_c_014",1,22,1
"55","1","spoli_c_014",2,23,0
"56","2","spoli_c_014",1,24,0
"57","1","spoli_c_014",2,25,0
"58","2","spoli_c_014",1,26,0
"59","1","spoli_c_014",2,27,0
"60","1","spoli_c_014",1,28,1
"61","1","spoli_c_014",1,29,1
"62","1","spoli_c_014",2,30,0
"63","2","spoli_c_014",2,31,1
"64","2","spoli_c_014",2,32,1
"65","2","spoli_c_030",1,1,0
"66","1","spoli_c_030",1,2,1
"67","1","spoli_c_030",2,3,0
"68","2","spoli_c_030",1,4,0
"69","1","spoli_c_030",1,5,1
"70","1","spoli_c_030",1,6,1
"71","1","spoli_c_030",2,7,0
"72","2","spoli_c_030",2,8,1
"73","1","spoli_c_030",2,9,0
"74","1","spoli_c_030",2,10,0
"75","2","spoli_c_030",1,11,0
"76","2","spoli_c_030",1,12,0
"77","2","spoli_c_030",1,13,0
"78","2","spoli_c_030",2,14,1
"79","1","spoli_c_030",2,15,0
"80","2","spoli_c_030",1,16,0
"81","1","spoli_c_030",2,17,0
"82","2","spoli_c_030",2,18,1
"83","2","spoli_c_030",1,19,0
"84","1","spoli_c_030",1,20,1
"85","1","spoli_c_030",2,21,0
"86","1","spoli_c_030",1,22,1
"87","1","spoli_c_030",2,23,0
"88","1","spoli_c_030",1,24,1
"89","1","spoli_c_030",2,25,0
"90","1","spoli_c_030",1,26,1
"91","1","spoli_c_030",2,27,0
"92","2","spoli_c_030",1,28,0
"93","1","spoli_c_030",1,29,1
"94","1","spoli_c_030",2,30,0
"95","2","spoli_c_030",2,31,1
"96","1","spoli_c_030",2,32,0
"97","1","spoli_c_076",1,1,1
"98","2","spoli_c_076",1,2,0
"99","1","spoli_c_076",2,3,0
"100","2","spoli_c_076",1,4,0
"101","1","spoli_c_076",1,5,1
"102","2","spoli_c_076",1,6,0
"103","2","spoli_c_076",2,7,1
"104","1","spoli_c_076",2,8,0
"105","2","spoli_c_076",2,9,1
"106","1","spoli_c_076",2,10,0
"107","1","spoli_c_076",1,11,1
"108","2","spoli_c_076",1,12,0
"109","2","spoli_c_076",1,13,0
"110","1","spoli_c_076",2,14,0
"111","1","spoli_c_076",2,15,0
"112","1","spoli_c_076",1,16,1
"113","2","spoli_c_076",2,17,1
"114","2","spoli_c_076",2,18,1
"115","2","spoli_c_076",1,19,0
"116","1","spoli_c_076",1,20,1
"117","2","spoli_c_076",2,21,1
"118","2","spoli_c_076",1,22,0
"119","2","spoli_c_076",2,23,1
"120","2","spoli_c_076",1,24,0
"121","2","spoli_c_076",2,25,1
"122","1","spoli_c_076",1,26,1
"123","1","spoli_c_076",2,27,0
"124","2","spoli_c_076",1,28,0
"125","1","spoli_c_076",1,29,1
"126","2","spoli_c_076",2,30,1
"127","1","spoli_c_076",2,31,0
"128","2","spoli_c_076",2,32,1
"129","1","spoli_c_078",1,1,1
"130","2","spoli_c_078",1,2,0
"131","2","spoli_c_078",2,3,1
"132","1","spoli_c_078",1,4,1
"133","1","spoli_c_078",1,5,1
"134","1","spoli_c_078",1,6,1
"135","1","spoli_c_078",2,7,0
"136","2","spoli_c_078",2,8,1
"137","2","spoli_c_078",2,9,1
"138","2","spoli_c_078",2,10,1
"139","1","spoli_c_078",1,11,1
"140","1","spoli_c_078",1,12,1
"141","1","spoli_c_078",1,13,1
"142","2","spoli_c_078",2,14,1
"143","2","spoli_c_078",2,15,1
"144","1","spoli_c_078",1,16,1
"145","2","spoli_c_078",2,17,1
"146","1","spoli_c_078",2,18,0
"147","1","spoli_c_078",1,19,1
"148","1","spoli_c_078",1,20,1
"149","2","spoli_c_078",2,21,1
"150","1","spoli_c_078",1,22,1
"151","1","spoli_c_078",2,23,0
"152","2","spoli_c_078",1,24,0
"153","2","spoli_c_078",2,25,1
"154","1","spoli_c_078",1,26,1
"155","2","spoli_c_078",2,27,1
"156","1","spoli_c_078",1,28,1
"157","2","spoli_c_078",1,29,0
"158","2","spoli_c_078",2,30,1
"159","1","spoli_c_078",2,31,0
"160","2","spoli_c_078",2,32,1
"161","1","spoli_c_088",1,1,1
"162","2","spoli_c_088",1,2,0
"163","1","spoli_c_088",2,3,0
"164","1","spoli_c_088",1,4,1
"165","1","spoli_c_088",1,5,1
"166","1","spoli_c_088",1,6,1
"167","2","spoli_c_088",2,7,1
"168","1","spoli_c_088",2,8,0
"169","1","spoli_c_088",2,9,0
"170","1","spoli_c_088",2,10,0
"171","1","spoli_c_088",1,11,1
"172","1","spoli_c_088",1,12,1
"173","2","spoli_c_088",1,13,0
"174","1","spoli_c_088",2,14,0
"175","1","spoli_c_088",2,15,0
"176","1","spoli_c_088",1,16,1
"177","1","spoli_c_088",2,17,0
"178","2","spoli_c_088",2,18,1
"179","1","spoli_c_088",1,19,1
"180","1","spoli_c_088",1,20,1
"181","1","spoli_c_088",2,21,0
"182","1","spoli_c_088",1,22,1
"183","2","spoli_c_088",2,23,1
"184","2","spoli_c_088",1,24,0
"185","1","spoli_c_088",2,25,0
"186","2","spoli_c_088",1,26,0
"187","1","spoli_c_088",2,27,0
"188","2","spoli_c_088",1,28,0
"189","1","spoli_c_088",1,29,1
"190","1","spoli_c_088",2,30,0
"191","1","spoli_c_088",2,31,0
"192","1","spoli_c_088",2,32,0
"193","2","spoli_c_093",1,1,0
"194","1","spoli_c_093",1,2,1
"195","1","spoli_c_093",2,3,0
"196","1","spoli_c_093",1,4,1
"197","2","spoli_c_093",1,5,0
"198","2","spoli_c_093",1,6,0
"199","2","spoli_c_093",2,7,1
"200","1","spoli_c_093",2,8,0
"201","1","spoli_c_093",2,9,0
"202","1","spoli_c_093",2,10,0
"203","1","spoli_c_093",1,11,1
"204","1","spoli_c_093",1,12,1
"205","1","spoli_c_093",1,13,1
"206","1","spoli_c_093",2,14,0
"207","1","spoli_c_093",2,15,0
"208","1","spoli_c_093",1,16,1
"209","1","spoli_c_093",2,17,0
