"","ans","subj","key","trial_order","corr"
"1","1","spoli_c_008",1,1,1
"2","1","spoli_c_008",1,2,1
"3","2","spoli_c_008",2,3,1
"4","2","spoli_c_008",1,4,0
"5","1","spoli_c_008",1,5,1
"6","2","spoli_c_008",1,6,0
"7","1","spoli_c_008",2,7,0
"8","1","spoli_c_008",2,8,0
"9","2","spoli_c_008",2,9,1
"10","2","spoli_c_008",2,10,1
"11","1","spoli_c_008",1,11,1
"12","2","spoli_c_008",1,12,0
"13","2","spoli_c_008",1,13,0
"14","1","spoli_c_008",2,14,0
"15","2","spoli_c_008",2,15,1
"16","1","spoli_c_008",1,16,1
"17","1","spoli_c_008",2,17,0
"18","2","spoli_c_008",2,18,1
"19","2","spoli_c_008",1,19,0
"20","1","spoli_c_008",1,20,1
"21","2","spoli_c_008",2,21,1
"22","2","spoli_c_008",1,22,0
"23","1","spoli_c_008",2,23,0
"24","2","spoli_c_008",1,24,0
"25","2","spoli_c_008",2,25,1
"26","2","spoli_c_008",1,26,0
"27","1","spoli_c_008",2,27,0
"28","2","spoli_c_008",1,28,0
"29","1","spoli_c_008",1,29,1
"30","2","spoli_c_008",2,30,1
"31","2","spoli_c_008",2,31,1
"32","2","spoli_c_008",2,32,1
"33","1","spoli_c_014",1,1,1
"34","2","spoli_c_014",1,2,0
"35","2","spoli_c_014",2,3,1
"36","1","spoli_c_014",1,4,1
"37","2","spoli_c_014",1,5,0
"38","2","spoli_c_014",1,6,0
"39","2","spoli_c_014",2,7,1
"40","2","spoli_c_014",2,8,1
"41","1","spoli_c_014",2,9,0
"42","2","spoli_c_014",2,10,1
"43","2","spoli_c_014",1,11,0
"44","1","spoli_c_014",1,12,1
"45","2","spoli_c_014",1,13,0
"46","2","spoli_c_014",2,14,1
"47","1","spoli_c_014",2,15,0
"48","1","spoli_c_014",1,16,1
"49","1","spoli_c_014",2,17,0
"50","1","spoli_c_014",2,18,0
"51","1","spoli_c_014",1,19,1
"52","1","spoli_c_014",1,20,1
"53","2","spoli_c_014",2,21,1
"54","1","spoli_c_014",1,22,1
"55","2","spoli_c_014",2,23,1
"56","2","spoli_c_014",1,24,0
"57","2","spoli_c_014",2,25,1
"58","2","spoli_c_014",1,26,0
"59","2","spoli_c_014",2,27,1
"60","1","spoli_c_014",1,28,1
"61","2","spoli_c_014",1,29,0
"62","2","spoli_c_014",2,30,1
"63","1","spoli_c_014",2,31,0
"64","1","spoli_c_014",2,32,0
"65","1","spoli_c_054",1,1,1
"66","2","spoli_c_054",1,2,0
"67","2","spoli_c_054",2,3,1
"68","2","spoli_c_054",1,4,0
"69","2","spoli_c_054",1,5,0
"70","2","spoli_c_054",1,6,0
"71","1","spoli_c_054",2,7,0
"72","2","spoli_c_054",2,8,1
"73","1","spoli_c_054",2,9,0
"74","2","spoli_c_054",2,10,1
"75","2","spoli_c_054",1,11,0
"76","2","spoli_c_054",1,12,0
"77","2","spoli_c_054",1,13,0
"78","1","spoli_c_054",2,14,0
"79","2","spoli_c_054",2,15,1
"80","1","spoli_c_054",1,16,1
"81","2","spoli_c_054",2,17,1
"82","2","spoli_c_054",2,18,1
"83","2","spoli_c_054",1,19,0
"84","1","spoli_c_054",1,20,1
"85","2","spoli_c_054",2,21,1
"86","1","spoli_c_054",1,22,1
"87","2","spoli_c_054",2,23,1
"88","1","spoli_c_054",1,24,1
"89","2","spoli_c_054",2,25,1
"90","1","spoli_c_054",1,26,1
"91","2","spoli_c_054",2,27,1
"92","1","spoli_c_054",1,28,1
"93","1","spoli_c_054",1,29,1
"94","2","spoli_c_054",2,30,1
"95","2","spoli_c_054",2,31,1
"96","2","spoli_c_054",2,32,1
"97","2","spoli_c_076",1,1,0
"98","2","spoli_c_076",1,2,0
"99","1","spoli_c_076",2,3,0
"100","1","spoli_c_076",1,4,1
"101","1","spoli_c_076",1,5,1
"102","1","spoli_c_076",1,6,1
"103","2","spoli_c_076",2,7,1
"104","1","spoli_c_076",2,8,0
"105","1","spoli_c_076",2,9,0
"106","2","spoli_c_076",2,10,1
"107","1","spoli_c_076",1,11,1
"108","1","spoli_c_076",1,12,1
"109","1","spoli_c_076",1,13,1
"110","1","spoli_c_076",2,14,0
"111","1","spoli_c_076",2,15,0
"112","2","spoli_c_076",1,16,0
"113","1","spoli_c_076",2,17,0
"114","2","spoli_c_076",2,18,1
"115","1","spoli_c_076",1,19,1
"116","1","spoli_c_076",1,20,1
"117","2","spoli_c_076",2,21,1
"118","1","spoli_c_076",1,22,1
"119","1","spoli_c_076",2,23,0
"120","1","spoli_c_076",1,24,1
"121","1","spoli_c_076",2,25,0
"122","2","spoli_c_076",1,26,0
"123","1","spoli_c_076",2,27,0
"124","2","spoli_c_076",1,28,0
"125","1","spoli_c_076",1,29,1
"126","1","spoli_c_076",2,30,0
"127","2","spoli_c_076",2,31,1
"128","2","spoli_c_076",2,32,1
"129","1","spoli_c_078",1,1,1
"130","1","spoli_c_078",1,2,1
"131","2","spoli_c_078",2,3,1
"132","1","spoli_c_078",1,4,1
"133","1","spoli_c_078",1,5,1
"134","1","spoli_c_078",1,6,1
"135","2","spoli_c_078",2,7,1
"136","2","spoli_c_078",2,8,1
"137","2","spoli_c_078",2,9,1
"138","2","spoli_c_078",2,10,1
"139","1","spoli_c_078",1,11,1
"140","1","spoli_c_078",1,12,1
"141","1","spoli_c_078",1,13,1
"142","2","spoli_c_078",2,14,1
"143","2","spoli_c_078",2,15,1
"144","1","spoli_c_078",1,16,1
"145","2","spoli_c_078",2,17,1
"146","2","spoli_c_078",2,18,1
"147","1","spoli_c_078",1,19,1
"148","1","spoli_c_078",1,20,1
"149","2","spoli_c_078",2,21,1
"150","1","spoli_c_078",1,22,1
"151","2","spoli_c_078",2,23,1
"152","1","spoli_c_078",1,24,1
"153","2","spoli_c_078",2,25,1
"154","1","spoli_c_078",1,26,1
"155","2","spoli_c_078",2,27,1
"156","1","spoli_c_078",1,28,1
"157","1","spoli_c_078",1,29,1
"158","2","spoli_c_078",2,30,1
"159","2","spoli_c_078",2,31,1
"160","2","spoli_c_078",2,32,1
"161","1","spoli_c_088",1,1,1
"162","1","spoli_c_088",1,2,1
"163","2","spoli_c_088",2,3,1
"164","1","spoli_c_088",1,4,1
"165","2","spoli_c_088",1,5,0
"166","2","spoli_c_088",1,6,0
"167","1","spoli_c_088",2,7,0
"168","2","spoli_c_088",2,8,1
"169","2","spoli_c_088",2,9,1
"170","1","spoli_c_088",2,10,0
"171","2","spoli_c_088",1,11,0
"172","1","spoli_c_088",1,12,1
"173","2","spoli_c_088",1,13,0
"174","1","spoli_c_088",2,14,0
"175","2","spoli_c_088",2,15,1
"176","1","spoli_c_088",1,16,1
"177","2","spoli_c_088",2,17,1
"178","1","spoli_c_088",2,18,0
"179","2","spoli_c_088",1,19,0
"180","1","spoli_c_088",1,20,1
"181","2","spoli_c_088",2,21,1
"182","1","spoli_c_088",1,22,1
"183","2","spoli_c_088",2,23,1
"184","1","spoli_c_088",1,24,1
"185","2","spoli_c_088",2,25,1
"186","1","spoli_c_088",1,26,1
"187","2","spoli_c_088",2,27,1
"188","1","spoli_c_088",1,28,1
"189","1","spoli_c_088",1,29,1
"190","2","spoli_c_088",2,30,1
"191","1","spoli_c_088",2,31,0
"192","1","spoli_c_088",2,32,0
"193","1","spoli_c_090",1,1,1
"194","1","spoli_c_090",1,2,1
"195","1","spoli_c_090",2,3,0
"196","1","spoli_c_090",1,4,1
"197","1","spoli_c_090",1,5,1
"198","1","spoli_c_090",1,6,1
"199","1","spoli_c_090",2,7,0
"200","1","spoli_c_090",2,8,0
"201","1","spoli_c_090",2,9,0
"202","1","spoli_c_090",2,10,0
"203","1","spoli_c_090",1,11,1
"204","1","spoli_c_090",1,12,1
"205","2","spoli_c_090",1,13,0
"206","1","spoli_c_090",2,14,0
"207","1","spoli_c_090",2,15,0
"208","1","spoli_c_090",1,16,1
"209","1","spoli_c_090",2,17,0
