"","r.age_at_web_year","r.rsr_raw","r.rsr_std","r.rbs_r","r.scq_web","r.composite_lsl","r.composite_ssl","r.composite_vsl","r.composite_tsl","r.composite_ling","r.composite_nonling"
"age_at_web_year",1,0.403936063709906,-0.187794723250879,0.000829074736417792,0.124725587527346,0.195107741521495,-0.327365272531201,0.422716129268647,0.224996088580454,-0.0755618453011143,0.331391553055616
"rsr_raw",0.403936063709906,1,0.871246517944113,-0.287185926179541,-0.383223465619417,0.477441459852615,0.182485857983413,0.366373555724091,0.229912956342838,0.482485109348257,0.377619029085443
"rsr_std",-0.187794723250879,0.871246517944113,1,-0.383984973933391,-0.398939643072876,0.517417994033839,0.389985419458539,0.30131524536707,0.131968596893602,0.56384569520244,0.297657370810202
"rbs_r",0.000829074736417792,-0.287185926179541,-0.383984973933391,1,0.510935217352103,-0.20467970407488,-0.0709548474674391,-0.211423786400167,-0.219339956201177,-0.175559076592607,-0.188669831669994
"scq_web",0.124725587527346,-0.383223465619417,-0.398939643072876,0.510935217352103,1,-0.196555332976529,0.15969394769524,0.0156566860831382,-0.141675096227959,-0.0295606541381603,-0.0462221220376967
"composite_lsl",0.195107741521495,0.477441459852615,0.517417994033839,-0.20467970407488,-0.196555332976529,1,-0.0293280022365594,0.243601211635272,0.037242878118655,0.749022566996181,0.117445517237028
"composite_ssl",-0.327365272531201,0.182485857983413,0.389985419458539,-0.0709548474674391,0.15969394769524,-0.0293280022365594,1,-0.196417712180413,-0.243906590409598,0.671642107530959,-0.179426219086903
"composite_vsl",0.422716129268647,0.366373555724091,0.30131524536707,-0.211423786400167,0.0156566860831382,0.243601211635272,-0.196417712180413,1,0.286474618037977,0.0556002672772382,0.811257703641656
"composite_tsl",0.224996088580454,0.229912956342838,0.131968596893602,-0.219339956201177,-0.141675096227959,0.037242878118655,-0.243906590409598,0.286474618037977,1,-0.0868438298298538,0.858730252726237
"composite_ling",-0.0755618453011143,0.482485109348257,0.56384569520244,-0.175559076592607,-0.0295606541381603,0.749022566996181,0.671642107530959,0.0556002672772382,-0.0868438298298538,1,-0.00356523408679493
"composite_nonling",0.331391553055616,0.377619029085443,0.297657370810202,-0.188669831669994,-0.0462221220376967,0.117445517237028,-0.179426219086903,0.811257703641656,0.858730252726237,-0.00356523408679493,1
