"","P.age_at_web_year","P.rsr_raw","P.rsr_std","P.rbs_r","P.scq_web","P.composite_lsl","P.composite_ssl","P.composite_vsl","P.composite_tsl","P.composite_ling","P.composite_nonling"
"age_at_web_year",NA,0.0197377540091375,0.338586714003961,0.99558708754488,0.398305449268849,0.165715518885117,0.0190313186948823,0.00179679028389113,0.124166662266018,0.58348923454156,0.013455074146286
"rsr_raw",0.0197377540091375,NA,1.62146207571823e-09,0.138398567011006,0.0441179809637195,0.00572235678908406,0.33445348611933,0.0391701536927873,0.213409030643533,0.00445981583719135,0.030269430661872
"rsr_std",0.338586714003961,1.62146207571823e-09,NA,0.063960158692034,0.0534695729873116,0.00570979601486821,0.0539553816468565,0.126675794983615,0.520460236183981,0.00177909765568129,0.123962176365727
"rbs_r",0.99558708754488,0.138398567011006,0.063960158692034,NA,0.000285257535584504,0.18260858745031,0.651166557561578,0.163262913124886,0.168242376434407,0.237858135774519,0.204060450146123
"scq_web",0.398305449268849,0.0441179809637195,0.0534695729873116,0.000285257535584504,NA,0.195632290223051,0.300454911298113,0.917746551554155,0.370799447013143,0.84191294700681,0.755069628052854
"composite_lsl",0.165715518885117,0.00572235678908406,0.00570979601486821,0.18260858745031,0.195632290223051,NA,0.843141456191281,0.0916605484170465,0.808093183562946,1.69912972580732e-10,0.406991625348482
"composite_ssl",0.0190313186948823,0.33445348611933,0.0539553816468565,0.651166557561578,0.300454911298113,0.843141456191281,NA,0.180887540180954,0.11059632045497,6.84202778877818e-08,0.207724753908796
"composite_vsl",0.00179679028389113,0.0391701536927873,0.126675794983615,0.163262913124886,0.917746551554155,0.0916605484170465,0.180887540180954,NA,0.0564102502933084,0.695430733409369,3.04201108747293e-13
"composite_tsl",0.124166662266018,0.213409030643533,0.520460236183981,0.168242376434407,0.370799447013143,0.808093183562946,0.11059632045497,0.0564102502933084,NA,0.55725580281088,5.99520433297585e-15
"composite_ling",0.58348923454156,0.00445981583719135,0.00177909765568129,0.237858135774519,0.84191294700681,1.69912972580732e-10,6.84202778877818e-08,0.695430733409369,0.55725580281088,NA,0.979390346580748
"composite_nonling",0.013455074146286,0.030269430661872,0.123962176365727,0.204060450146123,0.755069628052854,0.406991625348482,0.207724753908796,3.04201108747293e-13,5.99520433297585e-15,0.979390346580748,NA
