"","P.age_at_web_year","P.rsr_raw","P.rsr_std","P.rbs_r","P.scq_web","P.composite_lsl","P.composite_ssl","P.composite_vsl","P.composite_tsl","P.composite_ling","P.composite_nonling"
"age_at_web_year",NA,0.0107892860325274,0.409347573489376,NA,NA,0.381176648941252,0.0458514595593087,0.510276999927125,0.0455173637261743,0.14069989785512,0.460023799430866
"rsr_raw",0.0107892860325274,NA,2.31459296173853e-12,NA,NA,0.594375776546257,0.245397731141989,0.937755134525852,0.456213717313444,0.494703390516879,0.987351931738997
"rsr_std",0.409347573489376,2.31459296173853e-12,NA,NA,NA,0.723176337588329,0.734250396517531,0.915977307606671,0.665393528798181,0.88827450987043,0.947863963793161
"rbs_r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scq_web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"composite_lsl",0.381176648941252,0.594375776546257,0.723176337588329,NA,NA,NA,0.00172846941514226,0.00182686848095948,0.314950439828483,2.22044604925031e-16,0.00442381155958804
"composite_ssl",0.0458514595593087,0.245397731141989,0.734250396517531,NA,NA,0.00172846941514226,NA,0.393472781179727,0.817829946967669,2.8332891588434e-13,0.541114848806471
"composite_vsl",0.510276999927125,0.937755134525852,0.915977307606671,NA,NA,0.00182686848095948,0.393472781179727,NA,0.80229711422106,0.0359289571110122,2.38078445846668e-11
"composite_tsl",0.0455173637261743,0.456213717313444,0.665393528798181,NA,NA,0.314950439828483,0.817829946967669,0.80229711422106,NA,0.561821918170182,8.73972434423109e-07
"composite_ling",0.14069989785512,0.494703390516879,0.88827450987043,NA,NA,2.22044604925031e-16,2.8332891588434e-13,0.0359289571110122,0.561821918170182,NA,0.0514810008127089
"composite_nonling",0.460023799430866,0.987351931738997,0.947863963793161,NA,NA,0.00442381155958804,0.541114848806471,2.38078445846668e-11,8.73972434423109e-07,0.0514810008127089,NA
