"part_id","hit_before_n","hit_during_n","hit_after_n","miss_n","false_alarm_n","corr_rej_n","hit_n","target","distractors","d_prime","auto_dprime$dprime","sl_aprime","task"
"blast_c_002",1,6,8,9,7,257,15,24,264,2.25331344406363,2.25331344406363,0.893090437448414,"lsl"
"blast_c_009",1,22,1,0,0,264,24,24,264,Inf,Inf,1,"lsl"
"blast_c_019",0,18,5,1,4,260,23,24,264,3.89777114901457,3.89777114901457,0.985470507753117,"lsl"
"blast_c_028",0,11,1,12,2,262,12,24,264,2.42873708669228,2.42873708669228,0.870257922738839,"lsl"
"blast_c_034",0,6,10,8,8,256,16,24,264,2.30708586119005,2.30708586119005,0.902698863636364,"lsl"
"blast_c_036",0,22,1,1,2,262,23,24,264,4.16040148281452,4.16040148281452,0.987527532208913,"lsl"
"blast_c_038",2,11,9,2,7,257,22,24,264,3.31766820719989,3.31766820719989,0.971367816831206,"lsl"
"blast_c_045",1,22,1,0,0,264,24,24,264,Inf,Inf,1,"lsl"
"blast_c_059",0,10,6,8,2,262,16,24,264,2.85946438598774,2.85946438598774,0.913189625260236,"lsl"
"blast_c_061",0,18,5,1,6,258,23,24,264,3.73208796522823,3.73208796522823,0.983412231516377,"lsl"
"blast_c_071",1,21,1,1,5,259,23,24,264,3.80782837135455,3.80782837135455,0.984441527919789,"lsl"
"blast_c_073",3,18,1,2,10,254,22,24,264,3.15884454091472,3.15884454091472,0.968015878180517,"lsl"
"blast_c_088",2,8,7,7,2,262,17,24,264,2.97725936939038,2.97725936939038,0.923852920765808,"lsl"
"blast_c_092",0,21,2,1,5,259,23,24,264,3.80782837135455,3.80782837135455,0.984441527919789,"lsl"
"blast_c_095",2,22,0,0,2,262,24,24,264,Inf,Inf,0.998106060606061,"lsl"
"blast_c_096",0,23,0,1,2,262,23,24,264,4.16040148281452,4.16040148281452,0.987527532208913,"lsl"
"blast_c_097",0,22,1,1,2,262,23,24,264,4.16040148281452,4.16040148281452,0.987527532208913,"lsl"
"blast_c_109",1,22,0,1,2,262,23,24,264,4.16040148281452,4.16040148281452,0.987527532208913,"lsl"
"blast_c_112",0,23,0,1,3,261,23,24,264,4.00965272915098,4.00965272915098,0.986499174655097,"lsl"
"blast_c_118",0,20,4,0,7,257,24,24,264,Inf,Inf,0.993371212121212,"lsl"
"blast_c_122",0,2,0,22,24,240,2,24,264,-0.0478163909817022,-0.0478163909817022,0.477100550964187,"lsl"
"blast_c_124",1,23,0,0,3,261,24,24,264,Inf,Inf,0.997159090909091,"lsl"
"blast_c_147",2,20,2,0,7,257,24,24,264,Inf,Inf,0.993371212121212,"lsl"
"blast_c_149",0,11,7,6,1,263,18,24,264,3.34490463497693,3.34490463497693,0.935999731151822,"lsl"
"blast_c_150",0,23,1,0,0,264,24,24,264,Inf,Inf,1,"lsl"
"blast_c_168",1,18,2,3,6,258,21,24,264,3.15077294948199,3.15077294948199,0.961529749320447,"lsl"
"blast_c_170",0,10,5,9,0,264,15,24,264,Inf,Inf,0.90625,"lsl"
"blast_c_193",1,17,3,3,3,261,21,24,264,3.42833771340474,3.42833771340474,0.965144051350948,"lsl"
"blast_c_198",0,21,0,3,5,259,21,24,264,3.22651335560831,3.22651335560831,0.962735462735463,"lsl"
"blast_c_204",1,17,1,5,3,261,19,24,264,3.09020613452865,3.09020613452865,0.943729490916424,"lsl"
"blast_c_206",0,23,0,1,0,264,23,24,264,Inf,Inf,0.989583333333333,"lsl"
"blast_c_209",0,8,0,16,4,260,8,24,264,1.73537945359687,1.73537945359687,0.819405594405594,"lsl"
"blast_c_210",2,21,1,0,12,252,24,24,264,Inf,Inf,0.988636363636364,"lsl"
"blast_c_211",0,17,4,3,11,253,21,24,264,2.88201377649825,2.88201377649825,0.955486542443064,"lsl"
"blast_c_213",1,22,0,1,3,261,23,24,264,4.00965272915098,4.00965272915098,0.986499174655097,"lsl"
"blast_c_216",1,21,1,1,6,258,23,24,264,3.73208796522823,3.73208796522823,0.983412231516377,"lsl"
"blast_c_220",0,24,0,0,0,264,24,24,264,Inf,Inf,1,"lsl"
"blast_c_230",2,20,0,2,0,264,22,24,264,Inf,Inf,0.979166666666667,"lsl"
"blast_c_232",0,24,0,0,0,264,24,24,264,Inf,Inf,1,"lsl"
"blast_c_233",1,23,0,0,0,264,24,24,264,Inf,Inf,1,"lsl"
"blast_c_265",0,24,0,0,0,264,24,24,264,Inf,Inf,1,"lsl"
"blast_c_267",1,22,0,1,1,263,23,24,264,4.4020792809031,4.4020792809031,0.988555583943251,"lsl"
"blast_c_268",1,21,0,2,1,263,22,24,264,4.05340901188149,4.05340901188149,0.978054394620243,"lsl"
"blast_c_269",2,10,8,4,10,254,20,24,264,2.74327197991579,2.74327197991579,0.94532927702219,"lsl"
"blast_c_403",0,22,1,1,0,264,23,24,264,Inf,Inf,0.989583333333333,"lsl"
"blast_c_406",0,14,2,8,4,260,16,24,264,2.59683405218779,2.59683405218779,0.909702797202797,"lsl"
"blast_c_409",0,24,0,0,0,264,24,24,264,Inf,Inf,1,"lsl"
"blast_c_410",3,21,0,0,2,262,24,24,264,Inf,Inf,0.998106060606061,"lsl"
"blast_c_412",0,24,0,0,2,262,24,24,264,Inf,Inf,0.998106060606061,"lsl"
"blast_c_418",2,22,0,0,3,261,24,24,264,Inf,Inf,0.997159090909091,"lsl"
"blast_c_423",1,14,2,7,3,261,17,24,264,2.82651061572683,2.82651061572683,0.922234515540804,"lsl"
"blast_c_427",2,20,1,1,19,245,23,24,264,3.19294156094099,3.19294156094099,0.970000806646769,"lsl"
"blast_c_428",0,20,2,2,1,263,22,24,264,4.05340901188149,4.05340901188149,0.978054394620243,"lsl"
"blast_c_429",0,3,11,10,1,263,14,24,264,2.88084327902878,2.88084327902878,0.893813885734038,"lsl"
"blast_c_438",1,22,1,0,4,260,24,24,264,Inf,Inf,0.996212121212121,"lsl"
"blast_c_439",1,22,0,1,2,262,23,24,264,4.16040148281452,4.16040148281452,0.987527532208913,"lsl"
"blast_c_440",3,16,1,4,0,264,20,24,264,Inf,Inf,0.958333333333333,"lsl"
"blast_c_444",4,19,0,1,1,263,23,24,264,4.4020792809031,4.4020792809031,0.988555583943251,"lsl"
"blast_c_449",1,19,2,2,3,261,22,24,264,3.66098246012937,3.66098246012937,0.975828029511415,"lsl"
"blast_c_450",0,24,0,0,2,262,24,24,264,Inf,Inf,0.998106060606061,"lsl"
"blast_c_451",3,20,1,0,3,261,24,24,264,Inf,Inf,0.997159090909091,"lsl"
"blast_c_454",1,23,0,0,5,259,24,24,264,Inf,Inf,0.995265151515151,"lsl"
"blast_c_457",0,22,2,0,0,264,24,24,264,Inf,Inf,1,"lsl"
"blast_c_461",3,20,1,0,11,253,24,24,264,Inf,Inf,0.989583333333333,"lsl"
"blast_c_462",0,21,1,2,0,264,22,24,264,Inf,Inf,0.979166666666667,"lsl"
"blast_c_467",1,22,0,1,11,253,23,24,264,3.46332879224449,3.46332879224449,0.978260869565217,"lsl"
"blast_c_469",1,20,1,2,1,263,22,24,264,4.05340901188149,4.05340901188149,0.978054394620243,"lsl"
