"part_id","hit_trial_number","task"
"blast_c_002",23,"ssl"
"blast_c_019",40,"ssl"
"blast_c_028",16,"ssl"
"blast_c_034",20,"ssl"
"blast_c_036",39,"ssl"
"blast_c_038",29,"ssl"
"blast_c_045",45,"ssl"
"blast_c_059",16,"ssl"
"blast_c_071",36,"ssl"
"blast_c_073",12,"ssl"
"blast_c_085",28,"ssl"
"blast_c_088",25,"ssl"
"blast_c_092",28,"ssl"
"blast_c_095",34,"ssl"
"blast_c_096",19,"ssl"
"blast_c_097",23,"ssl"
"blast_c_109",40,"ssl"
"blast_c_124",44,"ssl"
"blast_c_147",28,"ssl"
"blast_c_149",10,"ssl"
"blast_c_168",37,"ssl"
"blast_c_193",33,"ssl"
"blast_c_204",13,"ssl"
"blast_c_206",41,"ssl"
"blast_c_209",22,"ssl"
"blast_c_210",7,"ssl"
"blast_c_213",39,"ssl"
"blast_c_216",35,"ssl"
"blast_c_220",45,"ssl"
"blast_c_232",40,"ssl"
"blast_c_233",40,"ssl"
"blast_c_265",35,"ssl"
"blast_c_267",29,"ssl"
"blast_c_268",31,"ssl"
"blast_c_406",31,"ssl"
"blast_c_409",18,"ssl"
"blast_c_420",44,"ssl"
"blast_c_423",8,"ssl"
"blast_c_428",39,"ssl"
"blast_c_438",36,"ssl"
"blast_c_439",31,"ssl"
"blast_c_440",39,"ssl"
"blast_c_444",19,"ssl"
"blast_c_449",20,"ssl"
"blast_c_450",31,"ssl"
"blast_c_451",44,"ssl"
"blast_c_454",29,"ssl"
"blast_c_456",18,"ssl"
"blast_c_457",40,"ssl"
"blast_c_462",12,"ssl"
"blast_c_467",27,"ssl"
"blast_c_470",16,"ssl"
"blast_c_471",36,"ssl"
"blast_c_475",19,"ssl"
"blast_c_478",17,"ssl"
"blast_c_479",33,"ssl"
"blast_c_483",10,"ssl"
"blast_c_484",26,"ssl"
"blast_c_485",15,"ssl"
"blast_c_487",17,"ssl"
"blast_c_488",33,"ssl"
"blast_c_491",17,"ssl"
"blast_c_492",14,"ssl"
"blast_c_493",25,"ssl"
"blast_c_497",35,"ssl"
"blast_c_498",40,"ssl"
"spoli_c_008",12,"ssl"
"spoli_c_088",30,"ssl"
"spoli_c_125",6,"ssl"
"spoli_c_379",7,"ssl"
"spoli_c_391",30,"ssl"
"spoli_c_396",33,"ssl"
"spoli_c_410",26,"ssl"
"spoli_c_439",32,"ssl"
"spoli_c_444",32,"ssl"
"spoli_c_447",34,"ssl"
"spoli_c_448",21,"ssl"
"spoli_c_450",30,"ssl"
"spoli_c_451",48,"ssl"
"spoli_c_487",36,"ssl"
"spoli_c_494",23,"ssl"
"spoli_c_501",27,"ssl"
"spoli_c_537",26,"ssl"
"spoli_c_608",15,"ssl"
"spoli_c_647",3,"ssl"
"spoli_c_677",42,"ssl"
"spoli_c_697",46,"ssl"
"spoli_c_705",11,"ssl"
"spoli_c_715",37,"ssl"
"spoli_c_730",38,"ssl"
"spoli_c_743",17,"ssl"
"spoli_c_760",23,"ssl"
"spoli_c_768",35,"ssl"
"spoli_c_777",33,"ssl"
"blast_c_002",17,"tsl"
"blast_c_009",41,"tsl"
"blast_c_019",22,"tsl"
"blast_c_034",35,"tsl"
"blast_c_036",27,"tsl"
"blast_c_038",16,"tsl"
"blast_c_045",38,"tsl"
"blast_c_059",19,"tsl"
"blast_c_071",22,"tsl"
"blast_c_073",8,"tsl"
"blast_c_085",29,"tsl"
"blast_c_088",24,"tsl"
"blast_c_092",28,"tsl"
"blast_c_095",30,"tsl"
"blast_c_097",40,"tsl"
"blast_c_109",36,"tsl"
"blast_c_122",14,"tsl"
"blast_c_124",41,"tsl"
"blast_c_147",34,"tsl"
"blast_c_149",15,"tsl"
"blast_c_168",37,"tsl"
"blast_c_193",29,"tsl"
"blast_c_204",30,"tsl"
"blast_c_206",26,"tsl"
"blast_c_209",3,"tsl"
"blast_c_210",8,"tsl"
"blast_c_211",17,"tsl"
"blast_c_213",8,"tsl"
"blast_c_216",6,"tsl"
"blast_c_220",39,"tsl"
"blast_c_232",28,"tsl"
"blast_c_233",39,"tsl"
"blast_c_265",23,"tsl"
"blast_c_267",33,"tsl"
"blast_c_268",30,"tsl"
"blast_c_406",20,"tsl"
"blast_c_409",28,"tsl"
"blast_c_420",35,"tsl"
"blast_c_427",27,"tsl"
"blast_c_428",42,"tsl"
"blast_c_438",7,"tsl"
"blast_c_439",14,"tsl"
"blast_c_440",30,"tsl"
"blast_c_444",18,"tsl"
"blast_c_451",9,"tsl"
"blast_c_454",18,"tsl"
"blast_c_456",38,"tsl"
"blast_c_457",20,"tsl"
"blast_c_462",23,"tsl"
"blast_c_467",26,"tsl"
"blast_c_469",17,"tsl"
