"trial","reaction_time","id","targ_index","task"
11,731,"blast_c_002",1,"lsl"
29,478,"blast_c_002",2,"lsl"
41,839,"blast_c_002",3,"lsl"
71,-110,"blast_c_002",4,"lsl"
83,NA,"blast_c_002",5,"lsl"
119,483,"blast_c_002",6,"lsl"
155,NA,"blast_c_002",7,"lsl"
185,1521,"blast_c_002",8,"lsl"
197,600,"blast_c_002",9,"lsl"
215,NA,"blast_c_002",10,"lsl"
233,1059,"blast_c_002",11,"lsl"
263,NA,"blast_c_002",12,"lsl"
287,NA,"blast_c_002",13,"lsl"
305,525,"blast_c_002",14,"lsl"
347,1519,"blast_c_002",15,"lsl"
371,NA,"blast_c_002",16,"lsl"
395,NA,"blast_c_002",17,"lsl"
431,NA,"blast_c_002",18,"lsl"
455,1439,"blast_c_002",19,"lsl"
479,1133,"blast_c_002",20,"lsl"
521,1331,"blast_c_002",21,"lsl"
539,NA,"blast_c_002",22,"lsl"
551,1149,"blast_c_002",23,"lsl"
563,1813,"blast_c_002",24,"lsl"
17,-389,"blast_c_009",1,"lsl"
53,750,"blast_c_009",2,"lsl"
77,795,"blast_c_009",3,"lsl"
95,627,"blast_c_009",4,"lsl"
107,724,"blast_c_009",5,"lsl"
131,652,"blast_c_009",6,"lsl"
143,926,"blast_c_009",7,"lsl"
173,558,"blast_c_009",8,"lsl"
191,1147,"blast_c_009",9,"lsl"
227,974,"blast_c_009",10,"lsl"
251,484,"blast_c_009",11,"lsl"
281,328,"blast_c_009",12,"lsl"
311,433,"blast_c_009",13,"lsl"
329,973,"blast_c_009",14,"lsl"
359,334,"blast_c_009",15,"lsl"
377,359,"blast_c_009",16,"lsl"
389,418,"blast_c_009",17,"lsl"
413,327,"blast_c_009",18,"lsl"
437,986,"blast_c_009",19,"lsl"
473,629,"blast_c_009",20,"lsl"
485,345,"blast_c_009",21,"lsl"
503,279,"blast_c_009",22,"lsl"
527,813,"blast_c_009",23,"lsl"
569,465,"blast_c_009",24,"lsl"
11,568,"blast_c_019",1,"lsl"
29,478,"blast_c_019",2,"lsl"
41,601,"blast_c_019",3,"lsl"
71,623,"blast_c_019",4,"lsl"
83,1039,"blast_c_019",5,"lsl"
119,1115,"blast_c_019",6,"lsl"
155,759,"blast_c_019",7,"lsl"
185,676,"blast_c_019",8,"lsl"
197,651,"blast_c_019",9,"lsl"
215,674,"blast_c_019",10,"lsl"
233,810,"blast_c_019",11,"lsl"
263,1388,"blast_c_019",12,"lsl"
287,521,"blast_c_019",13,"lsl"
305,NA,"blast_c_019",14,"lsl"
347,878,"blast_c_019",15,"lsl"
371,473,"blast_c_019",16,"lsl"
395,746,"blast_c_019",17,"lsl"
431,708,"blast_c_019",18,"lsl"
455,688,"blast_c_019",19,"lsl"
479,841,"blast_c_019",20,"lsl"
521,580,"blast_c_019",21,"lsl"
539,1094,"blast_c_019",22,"lsl"
551,1082,"blast_c_019",23,"lsl"
563,700,"blast_c_019",24,"lsl"
5,551,"blast_c_028",1,"lsl"
35,NA,"blast_c_028",2,"lsl"
59,647,"blast_c_028",3,"lsl"
101,926,"blast_c_028",4,"lsl"
137,NA,"blast_c_028",5,"lsl"
161,NA,"blast_c_028",6,"lsl"
179,683,"blast_c_028",7,"lsl"
209,NA,"blast_c_028",8,"lsl"
245,900,"blast_c_028",9,"lsl"
257,NA,"blast_c_028",10,"lsl"
269,NA,"blast_c_028",11,"lsl"
293,NA,"blast_c_028",12,"lsl"
317,779,"blast_c_028",13,"lsl"
335,NA,"blast_c_028",14,"lsl"
365,1242,"blast_c_028",15,"lsl"
407,866,"blast_c_028",16,"lsl"
425,NA,"blast_c_028",17,"lsl"
443,NA,"blast_c_028",18,"lsl"
467,336,"blast_c_028",19,"lsl"
491,NA,"blast_c_028",20,"lsl"
509,726,"blast_c_028",21,"lsl"
533,439,"blast_c_028",22,"lsl"
557,797,"blast_c_028",23,"lsl"
575,NA,"blast_c_028",24,"lsl"
23,626,"blast_c_034",1,"lsl"
47,NA,"blast_c_034",2,"lsl"
65,1126,"blast_c_034",3,"lsl"
89,1636,"blast_c_034",4,"lsl"
113,859,"blast_c_034",5,"lsl"
125,848,"blast_c_034",6,"lsl"
149,1118,"blast_c_034",7,"lsl"
167,NA,"blast_c_034",8,"lsl"
203,NA,"blast_c_034",9,"lsl"
221,NA,"blast_c_034",10,"lsl"
239,NA,"blast_c_034",11,"lsl"
275,1361,"blast_c_034",12,"lsl"
299,1410,"blast_c_034",13,"lsl"
323,1569,"blast_c_034",14,"lsl"
341,1564,"blast_c_034",15,"lsl"
353,865,"blast_c_034",16,"lsl"
383,1394,"blast_c_034",17,"lsl"
401,NA,"blast_c_034",18,"lsl"
419,NA,"blast_c_034",19,"lsl"
449,931,"blast_c_034",20,"lsl"
461,876,"blast_c_034",21,"lsl"
497,1110,"blast_c_034",22,"lsl"
515,1075,"blast_c_034",23,"lsl"
545,NA,"blast_c_034",24,"lsl"
23,868,"blast_c_036",1,"lsl"
47,365,"blast_c_036",2,"lsl"
65,408,"blast_c_036",3,"lsl"
89,NA,"blast_c_036",4,"lsl"
113,393,"blast_c_036",5,"lsl"
125,387,"blast_c_036",6,"lsl"
149,431,"blast_c_036",7,"lsl"
167,356,"blast_c_036",8,"lsl"
203,419,"blast_c_036",9,"lsl"
221,420,"blast_c_036",10,"lsl"
239,677,"blast_c_036",11,"lsl"
275,1222,"blast_c_036",12,"lsl"
299,737,"blast_c_036",13,"lsl"
323,806,"blast_c_036",14,"lsl"
341,533,"blast_c_036",15,"lsl"
353,390,"blast_c_036",16,"lsl"
383,336,"blast_c_036",17,"lsl"
401,399,"blast_c_036",18,"lsl"
419,440,"blast_c_036",19,"lsl"
449,562,"blast_c_036",20,"lsl"
461,984,"blast_c_036",21,"lsl"
497,387,"blast_c_036",22,"lsl"
515,944,"blast_c_036",23,"lsl"
545,439,"blast_c_036",24,"lsl"
23,1212,"blast_c_038",1,"lsl"
47,454,"blast_c_038",2,"lsl"
65,NA,"blast_c_038",3,"lsl"
89,1647,"blast_c_038",4,"lsl"
113,505,"blast_c_038",5,"lsl"
125,716,"blast_c_038",6,"lsl"
149,639,"blast_c_038",7,"lsl"
167,1566,"blast_c_038",8,"lsl"
203,-579,"blast_c_038",9,"lsl"
221,686,"blast_c_038",10,"lsl"
239,716,"blast_c_038",11,"lsl"
275,-863,"blast_c_038",12,"lsl"
299,692,"blast_c_038",13,"lsl"
323,1282,"blast_c_038",14,"lsl"
341,1190,"blast_c_038",15,"lsl"
353,1435,"blast_c_038",16,"lsl"
383,966,"blast_c_038",17,"lsl"
401,830,"blast_c_038",18,"lsl"
419,878,"blast_c_038",19,"lsl"
449,1599,"blast_c_038",20,"lsl"
461,1469,"blast_c_038",21,"lsl"
497,1015,"blast_c_038",22,"lsl"
515,534,"blast_c_038",23,"lsl"
545,NA,"blast_c_038",24,"lsl"
5,593,"blast_c_045",1,"lsl"
35,484,"blast_c_045",2,"lsl"
59,451,"blast_c_045",3,"lsl"
101,-240,"blast_c_045",4,"lsl"
137,680,"blast_c_045",5,"lsl"
161,435,"blast_c_045",6,"lsl"
179,623,"blast_c_045",7,"lsl"
209,898,"blast_c_045",8,"lsl"
245,856,"blast_c_045",9,"lsl"
257,550,"blast_c_045",10,"lsl"
269,461,"blast_c_045",11,"lsl"
293,486,"blast_c_045",12,"lsl"
317,376,"blast_c_045",13,"lsl"
335,591,"blast_c_045",14,"lsl"
365,350,"blast_c_045",15,"lsl"
407,1595,"blast_c_045",16,"lsl"
425,521,"blast_c_045",17,"lsl"
443,645,"blast_c_045",18,"lsl"
467,750,"blast_c_045",19,"lsl"
491,434,"blast_c_045",20,"lsl"
509,512,"blast_c_045",21,"lsl"
533,340,"blast_c_045",22,"lsl"
557,337,"blast_c_045",23,"lsl"
575,507,"blast_c_045",24,"lsl"
11,513,"blast_c_059",1,"lsl"
29,461,"blast_c_059",2,"lsl"
41,797,"blast_c_059",3,"lsl"
71,893,"blast_c_059",4,"lsl"
83,NA,"blast_c_059",5,"lsl"
119,667,"blast_c_059",6,"lsl"
155,NA,"blast_c_059",7,"lsl"
185,1067,"blast_c_059",8,"lsl"
197,896,"blast_c_059",9,"lsl"
215,NA,"blast_c_059",10,"lsl"
233,1013,"blast_c_059",11,"lsl"
263,NA,"blast_c_059",12,"lsl"
287,848,"blast_c_059",13,"lsl"
305,NA,"blast_c_059",14,"lsl"
347,564,"blast_c_059",15,"lsl"
371,1140,"blast_c_059",16,"lsl"
395,1086,"blast_c_059",17,"lsl"
431,NA,"blast_c_059",18,"lsl"
455,653,"blast_c_059",19,"lsl"
479,NA,"blast_c_059",20,"lsl"
521,556,"blast_c_059",21,"lsl"
539,1445,"blast_c_059",22,"lsl"
551,1318,"blast_c_059",23,"lsl"
563,NA,"blast_c_059",24,"lsl"
11,597,"blast_c_061",1,"lsl"
29,671,"blast_c_061",2,"lsl"
41,779,"blast_c_061",3,"lsl"
71,683,"blast_c_061",4,"lsl"
83,729,"blast_c_061",5,"lsl"
119,577,"blast_c_061",6,"lsl"
155,NA,"blast_c_061",7,"lsl"
185,1177,"blast_c_061",8,"lsl"
197,551,"blast_c_061",9,"lsl"
215,745,"blast_c_061",10,"lsl"
233,681,"blast_c_061",11,"lsl"
263,738,"blast_c_061",12,"lsl"
287,705,"blast_c_061",13,"lsl"
305,902,"blast_c_061",14,"lsl"
347,1006,"blast_c_061",15,"lsl"
371,762,"blast_c_061",16,"lsl"
395,785,"blast_c_061",17,"lsl"
431,860,"blast_c_061",18,"lsl"
455,758,"blast_c_061",19,"lsl"
479,1350,"blast_c_061",20,"lsl"
521,1490,"blast_c_061",21,"lsl"
539,761,"blast_c_061",22,"lsl"
551,1286,"blast_c_061",23,"lsl"
563,665,"blast_c_061",24,"lsl"
11,488,"blast_c_071",1,"lsl"
29,533,"blast_c_071",2,"lsl"
41,512,"blast_c_071",3,"lsl"
71,632,"blast_c_071",4,"lsl"
83,755,"blast_c_071",5,"lsl"
119,724,"blast_c_071",6,"lsl"
155,650,"blast_c_071",7,"lsl"
185,303,"blast_c_071",8,"lsl"
197,33,"blast_c_071",9,"lsl"
215,307,"blast_c_071",10,"lsl"
233,604,"blast_c_071",11,"lsl"
263,332,"blast_c_071",12,"lsl"
287,524,"blast_c_071",13,"lsl"
305,334,"blast_c_071",14,"lsl"
347,NA,"blast_c_071",15,"lsl"
371,308,"blast_c_071",16,"lsl"
395,287,"blast_c_071",17,"lsl"
431,617,"blast_c_071",18,"lsl"
455,486,"blast_c_071",19,"lsl"
479,491,"blast_c_071",20,"lsl"
521,410,"blast_c_071",21,"lsl"
539,624,"blast_c_071",22,"lsl"
551,-117,"blast_c_071",23,"lsl"
563,1009,"blast_c_071",24,"lsl"
17,861,"blast_c_073",1,"lsl"
53,823,"blast_c_073",2,"lsl"
77,166,"blast_c_073",3,"lsl"
95,-744,"blast_c_073",4,"lsl"
107,-994,"blast_c_073",5,"lsl"
131,815,"blast_c_073",6,"lsl"
143,360,"blast_c_073",7,"lsl"
173,418,"blast_c_073",8,"lsl"
191,495,"blast_c_073",9,"lsl"
227,-396,"blast_c_073",10,"lsl"
251,277,"blast_c_073",11,"lsl"
281,633,"blast_c_073",12,"lsl"
311,591,"blast_c_073",13,"lsl"
329,NA,"blast_c_073",14,"lsl"
359,448,"blast_c_073",15,"lsl"
377,643,"blast_c_073",16,"lsl"
389,205,"blast_c_073",17,"lsl"
413,459,"blast_c_073",18,"lsl"
437,1344,"blast_c_073",19,"lsl"
473,NA,"blast_c_073",20,"lsl"
485,858,"blast_c_073",21,"lsl"
503,540,"blast_c_073",22,"lsl"
527,364,"blast_c_073",23,"lsl"
569,914,"blast_c_073",24,"lsl"
11,1044,"blast_c_088",1,"lsl"
29,1251,"blast_c_088",2,"lsl"
41,1001,"blast_c_088",3,"lsl"
71,NA,"blast_c_088",4,"lsl"
83,1368,"blast_c_088",5,"lsl"
119,1262,"blast_c_088",6,"lsl"
155,981,"blast_c_088",7,"lsl"
185,995,"blast_c_088",8,"lsl"
197,NA,"blast_c_088",9,"lsl"
215,1083,"blast_c_088",10,"lsl"
233,840,"blast_c_088",11,"lsl"
263,NA,"blast_c_088",12,"lsl"
287,NA,"blast_c_088",13,"lsl"
305,709,"blast_c_088",14,"lsl"
347,-55,"blast_c_088",15,"lsl"
371,1144,"blast_c_088",16,"lsl"
395,802,"blast_c_088",17,"lsl"
431,-458,"blast_c_088",18,"lsl"
455,905,"blast_c_088",19,"lsl"
479,NA,"blast_c_088",20,"lsl"
521,NA,"blast_c_088",21,"lsl"
539,511,"blast_c_088",22,"lsl"
551,NA,"blast_c_088",23,"lsl"
563,521,"blast_c_088",24,"lsl"
11,672,"blast_c_092",1,"lsl"
29,634,"blast_c_092",2,"lsl"
41,562,"blast_c_092",3,"lsl"
71,651,"blast_c_092",4,"lsl"
83,973,"blast_c_092",5,"lsl"
119,692,"blast_c_092",6,"lsl"
155,710,"blast_c_092",7,"lsl"
185,878,"blast_c_092",8,"lsl"
197,688,"blast_c_092",9,"lsl"
215,653,"blast_c_092",10,"lsl"
233,543,"blast_c_092",11,"lsl"
263,604,"blast_c_092",12,"lsl"
287,406,"blast_c_092",13,"lsl"
305,1424,"blast_c_092",14,"lsl"
347,752,"blast_c_092",15,"lsl"
371,741,"blast_c_092",16,"lsl"
395,215,"blast_c_092",17,"lsl"
431,817,"blast_c_092",18,"lsl"
455,1038,"blast_c_092",19,"lsl"
479,540,"blast_c_092",20,"lsl"
521,419,"blast_c_092",21,"lsl"
539,559,"blast_c_092",22,"lsl"
551,NA,"blast_c_092",23,"lsl"
563,836,"blast_c_092",24,"lsl"
5,-952,"blast_c_095",1,"lsl"
35,553,"blast_c_095",2,"lsl"
59,661,"blast_c_095",3,"lsl"
101,922,"blast_c_095",4,"lsl"
137,518,"blast_c_095",5,"lsl"
161,303,"blast_c_095",6,"lsl"
179,341,"blast_c_095",7,"lsl"
209,682,"blast_c_095",8,"lsl"
245,362,"blast_c_095",9,"lsl"
257,335,"blast_c_095",10,"lsl"
269,267,"blast_c_095",11,"lsl"
293,331,"blast_c_095",12,"lsl"
317,371,"blast_c_095",13,"lsl"
335,9,"blast_c_095",14,"lsl"
365,555,"blast_c_095",15,"lsl"
407,498,"blast_c_095",16,"lsl"
425,253,"blast_c_095",17,"lsl"
443,326,"blast_c_095",18,"lsl"
467,383,"blast_c_095",19,"lsl"
491,728,"blast_c_095",20,"lsl"
509,418,"blast_c_095",21,"lsl"
533,-13,"blast_c_095",22,"lsl"
557,372,"blast_c_095",23,"lsl"
575,336,"blast_c_095",24,"lsl"
23,598,"blast_c_096",1,"lsl"
47,598,"blast_c_096",2,"lsl"
65,780,"blast_c_096",3,"lsl"
89,580,"blast_c_096",4,"lsl"
113,437,"blast_c_096",5,"lsl"
125,664,"blast_c_096",6,"lsl"
149,497,"blast_c_096",7,"lsl"
167,466,"blast_c_096",8,"lsl"
203,465,"blast_c_096",9,"lsl"
221,699,"blast_c_096",10,"lsl"
239,739,"blast_c_096",11,"lsl"
275,491,"blast_c_096",12,"lsl"
299,475,"blast_c_096",13,"lsl"
323,455,"blast_c_096",14,"lsl"
341,739,"blast_c_096",15,"lsl"
353,970,"blast_c_096",16,"lsl"
383,885,"blast_c_096",17,"lsl"
401,918,"blast_c_096",18,"lsl"
419,812,"blast_c_096",19,"lsl"
449,497,"blast_c_096",20,"lsl"
461,712,"blast_c_096",21,"lsl"
497,990,"blast_c_096",22,"lsl"
515,NA,"blast_c_096",23,"lsl"
545,703,"blast_c_096",24,"lsl"
5,577,"blast_c_097",1,"lsl"
35,399,"blast_c_097",2,"lsl"
59,460,"blast_c_097",3,"lsl"
101,329,"blast_c_097",4,"lsl"
137,388,"blast_c_097",5,"lsl"
161,420,"blast_c_097",6,"lsl"
179,367,"blast_c_097",7,"lsl"
209,450,"blast_c_097",8,"lsl"
245,479,"blast_c_097",9,"lsl"
257,NA,"blast_c_097",10,"lsl"
269,402,"blast_c_097",11,"lsl"
293,331,"blast_c_097",12,"lsl"
317,375,"blast_c_097",13,"lsl"
335,832,"blast_c_097",14,"lsl"
365,397,"blast_c_097",15,"lsl"
407,456,"blast_c_097",16,"lsl"
425,1250,"blast_c_097",17,"lsl"
443,389,"blast_c_097",18,"lsl"
467,430,"blast_c_097",19,"lsl"
491,620,"blast_c_097",20,"lsl"
509,475,"blast_c_097",21,"lsl"
533,363,"blast_c_097",22,"lsl"
557,570,"blast_c_097",23,"lsl"
575,435,"blast_c_097",24,"lsl"
5,790,"blast_c_109",1,"lsl"
35,453,"blast_c_109",2,"lsl"
59,NA,"blast_c_109",3,"lsl"
101,786,"blast_c_109",4,"lsl"
137,409,"blast_c_109",5,"lsl"
161,362,"blast_c_109",6,"lsl"
179,339,"blast_c_109",7,"lsl"
209,486,"blast_c_109",8,"lsl"
245,876,"blast_c_109",9,"lsl"
257,401,"blast_c_109",10,"lsl"
269,623,"blast_c_109",11,"lsl"
293,410,"blast_c_109",12,"lsl"
317,619,"blast_c_109",13,"lsl"
335,857,"blast_c_109",14,"lsl"
365,537,"blast_c_109",15,"lsl"
407,750,"blast_c_109",16,"lsl"
425,558,"blast_c_109",17,"lsl"
443,0,"blast_c_109",18,"lsl"
467,12,"blast_c_109",19,"lsl"
491,-478,"blast_c_109",20,"lsl"
509,305,"blast_c_109",21,"lsl"
533,670,"blast_c_109",22,"lsl"
557,626,"blast_c_109",23,"lsl"
575,831,"blast_c_109",24,"lsl"
11,598,"blast_c_112",1,"lsl"
29,588,"blast_c_112",2,"lsl"
41,523,"blast_c_112",3,"lsl"
71,748,"blast_c_112",4,"lsl"
83,584,"blast_c_112",5,"lsl"
119,514,"blast_c_112",6,"lsl"
155,625,"blast_c_112",7,"lsl"
185,589,"blast_c_112",8,"lsl"
197,554,"blast_c_112",9,"lsl"
215,NA,"blast_c_112",10,"lsl"
233,594,"blast_c_112",11,"lsl"
263,769,"blast_c_112",12,"lsl"
287,547,"blast_c_112",13,"lsl"
305,570,"blast_c_112",14,"lsl"
347,698,"blast_c_112",15,"lsl"
371,799,"blast_c_112",16,"lsl"
395,708,"blast_c_112",17,"lsl"
431,719,"blast_c_112",18,"lsl"
455,449,"blast_c_112",19,"lsl"
479,485,"blast_c_112",20,"lsl"
521,570,"blast_c_112",21,"lsl"
539,663,"blast_c_112",22,"lsl"
551,731,"blast_c_112",23,"lsl"
563,446,"blast_c_112",24,"lsl"
23,528,"blast_c_118",1,"lsl"
47,782,"blast_c_118",2,"lsl"
65,538,"blast_c_118",3,"lsl"
89,420,"blast_c_118",4,"lsl"
113,428,"blast_c_118",5,"lsl"
125,522,"blast_c_118",6,"lsl"
149,692,"blast_c_118",7,"lsl"
167,464,"blast_c_118",8,"lsl"
203,432,"blast_c_118",9,"lsl"
221,496,"blast_c_118",10,"lsl"
239,692,"blast_c_118",11,"lsl"
275,584,"blast_c_118",12,"lsl"
299,498,"blast_c_118",13,"lsl"
323,776,"blast_c_118",14,"lsl"
341,674,"blast_c_118",15,"lsl"
353,1282,"blast_c_118",16,"lsl"
383,396,"blast_c_118",17,"lsl"
401,588,"blast_c_118",18,"lsl"
419,1038,"blast_c_118",19,"lsl"
449,414,"blast_c_118",20,"lsl"
461,1140,"blast_c_118",21,"lsl"
497,480,"blast_c_118",22,"lsl"
515,1642,"blast_c_118",23,"lsl"
545,482,"blast_c_118",24,"lsl"
11,524,"blast_c_124",1,"lsl"
29,720,"blast_c_124",2,"lsl"
41,501,"blast_c_124",3,"lsl"
71,519,"blast_c_124",4,"lsl"
83,531,"blast_c_124",5,"lsl"
119,558,"blast_c_124",6,"lsl"
155,584,"blast_c_124",7,"lsl"
185,638,"blast_c_124",8,"lsl"
197,682,"blast_c_124",9,"lsl"
215,637,"blast_c_124",10,"lsl"
233,532,"blast_c_124",11,"lsl"
263,376,"blast_c_124",12,"lsl"
287,615,"blast_c_124",13,"lsl"
305,378,"blast_c_124",14,"lsl"
