rsr_raw,rsr_std,percentile,age_lower,age_upper
0,40,<0.1,9,9.5
1,40,<0.1,9,9.5
2,40,<0.1,9,9.5
3,40,<0.1,9,9.5
4,40,<0.1,9,9.5
5,40,<0.1,9,9.5
6,40,<0.1,9,9.5
7,40,<0.1,9,9.5
8,40,<0.1,9,9.5
9,40,<0.1,9,9.5
10,40,<0.1,9,9.5
11,40,<0.1,9,9.5
12,40,<0.1,9,9.5
13,40,<0.1,9,9.5
14,40,<0.1,9,9.5
15,40,<0.1,9,9.5
16,40,<0.1,9,9.5
17,41,<0.1,9,9.5
18,47,<0.1,9,9.5
19,52,0.1,9,9.5
20,58,0.3,9,9.5
21,64,1,9,9.5
22,70,2,9,9.5
23,76,5,9,9.5
24,82,12,9,9.5
25,88,21,9,9.5
26,94,34,9,9.5
27,100,50,9,9.5
28,106,66,9,9.5
29,112,79,9,9.5
30,117,87,9,9.5
31,123,94,9,9.5
32,129,97,9,9.5
0,40,<0.1,8.5,9
1,40,<0.1,8.5,9
2,40,<0.1,8.5,9
3,40,<0.1,8.5,9
4,40,<0.1,8.5,9
5,40,<0.1,8.5,9
6,40,<0.1,8.5,9
7,41,<0.1,8.5,9
8,44,<0.1,8.5,9
9,47,<0.1,8.5,9
10,50,<0.1,8.5,9
11,53,0.1,8.5,9
12,56,0.2,8.5,9
13,59,0.3,8.5,9
14,63,1,8.5,9
15,66,1,8.5,9
16,69,2,8.5,9
17,72,3,8.5,9
18,75,5,8.5,9
19,78,7,8.5,9
20,82,12,8.5,9
21,85,16,8.5,9
22,88,21,8.5,9
23,91,27,8.5,9
24,94,34,8.5,9
25,97,42,8.5,9
26,100,50,8.5,9
27,104,61,8.5,9
28,107,68,8.5,9
29,110,75,8.5,9
30,113,81,8.5,9
31,116,86,8.5,9
32,119,90,8.5,9
0,40,<0.1,8,8.5
1,40,<0.1,8,8.5
2,40,<0.1,8,8.5
3,40,<0.1,8,8.5
4,40,<0.1,8,8.5
5,40,<0.1,8,8.5
6,40,<0.1,8,8.5
7,41,<0.1,8,8.5
8,44,<0.1,8,8.5
9,47,<0.1,8,8.5
10,50,<0.1,8,8.5
11,54,0.1,8,8.5
12,57,0.2,8,8.5
13,60,0.4,8,8.5
14,63,1,8,8.5
15,66,1,8,8.5
16,69,2,8,8.5
17,72,3,8,8.5
18,76,5,8,8.5
19,79,8,8,8.5
20,82,12,8,8.5
21,85,16,8,8.5
22,88,21,8,8.5
23,91,27,8,8.5
24,94,34,8,8.5
25,98,45,8,8.5
26,101,53,8,8.5
27,104,61,8,8.5
28,107,68,8,8.5
29,110,75,8,8.5
30,113,81,8,8.5
31,116,86,8,8.5
32,119,90,8,8.5
0,40,<0.1,7.5,8
1,40,<0.1,7.5,8
2,40,<0.1,7.5,8
3,40,<0.1,7.5,8
4,43,<0.1,7.5,8
5,46,<0.1,7.5,8
6,48,<0.1,7.5,8
7,51,0.1,7.5,8
8,54,0.1,7.5,8
9,57,0.2,7.5,8
