"","trial","reaction_time","id","targ_index"
"1",11,569,"spoli_c_008_lsl",1
"2",29,444,"spoli_c_008_lsl",2
"3",41,515,"spoli_c_008_lsl",3
"4",71,607,"spoli_c_008_lsl",4
"5",83,578,"spoli_c_008_lsl",5
"6",119,1083,"spoli_c_008_lsl",6
"7",155,535,"spoli_c_008_lsl",7
"8",185,445,"spoli_c_008_lsl",8
"9",197,526,"spoli_c_008_lsl",9
"10",215,453,"spoli_c_008_lsl",10
"11",233,417,"spoli_c_008_lsl",11
"12",263,454,"spoli_c_008_lsl",12
"13",287,580,"spoli_c_008_lsl",13
"14",305,566,"spoli_c_008_lsl",14
"15",347,544,"spoli_c_008_lsl",15
"16",371,552,"spoli_c_008_lsl",16
"17",395,592,"spoli_c_008_lsl",17
"18",431,508,"spoli_c_008_lsl",18
"19",455,470,"spoli_c_008_lsl",19
"20",479,748,"spoli_c_008_lsl",20
"21",521,414,"spoli_c_008_lsl",21
"22",539,NA,"spoli_c_008_lsl",22
"23",551,NA,"spoli_c_008_lsl",23
"24",563,561,"spoli_c_008_lsl",24
"25",5,NA,"spoli_c_030_lsl",1
"26",35,NA,"spoli_c_030_lsl",2
"27",59,663,"spoli_c_030_lsl",3
"28",101,840,"spoli_c_030_lsl",4
"29",137,747,"spoli_c_030_lsl",5
"30",161,936,"spoli_c_030_lsl",6
"31",179,697,"spoli_c_030_lsl",7
"32",209,839,"spoli_c_030_lsl",8
"33",245,812,"spoli_c_030_lsl",9
"34",257,NA,"spoli_c_030_lsl",10
"35",269,952,"spoli_c_030_lsl",11
"36",293,688,"spoli_c_030_lsl",12
"37",317,958,"spoli_c_030_lsl",13
"38",335,736,"spoli_c_030_lsl",14
"39",365,1312,"spoli_c_030_lsl",15
"40",407,667,"spoli_c_030_lsl",16
"41",425,1627,"spoli_c_030_lsl",17
"42",443,1156,"spoli_c_030_lsl",18
"43",467,581,"spoli_c_030_lsl",19
"44",491,1080,"spoli_c_030_lsl",20
"45",509,817,"spoli_c_030_lsl",21
"46",533,777,"spoli_c_030_lsl",22
"47",557,837,"spoli_c_030_lsl",23
"48",575,630,"spoli_c_030_lsl",24
"49",5,506,"spoli_c_049_lsl",1
"50",35,474,"spoli_c_049_lsl",2
"51",59,491,"spoli_c_049_lsl",3
"52",101,538,"spoli_c_049_lsl",4
"53",137,519,"spoli_c_049_lsl",5
"54",161,582,"spoli_c_049_lsl",6
"55",179,507,"spoli_c_049_lsl",7
"56",209,567,"spoli_c_049_lsl",8
"57",245,613,"spoli_c_049_lsl",9
"58",257,591,"spoli_c_049_lsl",10
"59",269,480,"spoli_c_049_lsl",11
"60",293,492,"spoli_c_049_lsl",12
"61",317,557,"spoli_c_049_lsl",13
"62",335,579,"spoli_c_049_lsl",14
"63",365,509,"spoli_c_049_lsl",15
"64",407,474,"spoli_c_049_lsl",16
"65",425,540,"spoli_c_049_lsl",17
"66",443,547,"spoli_c_049_lsl",18
"67",467,512,"spoli_c_049_lsl",19
"68",491,527,"spoli_c_049_lsl",20
"69",509,496,"spoli_c_049_lsl",21
"70",533,418,"spoli_c_049_lsl",22
"71",557,487,"spoli_c_049_lsl",23
"72",575,491,"spoli_c_049_lsl",24
"73",23,-878,"spoli_c_071_lsl",1
"74",47,NA,"spoli_c_071_lsl",2
"75",65,NA,"spoli_c_071_lsl",3
"76",89,NA,"spoli_c_071_lsl",4
"77",113,-934,"spoli_c_071_lsl",5
"78",125,-179,"spoli_c_071_lsl",6
"79",149,-222,"spoli_c_071_lsl",7
"80",167,-119,"spoli_c_071_lsl",8
"81",203,-883,"spoli_c_071_lsl",9
"82",221,-939,"spoli_c_071_lsl",10
"83",239,NA,"spoli_c_071_lsl",11
"84",275,NA,"spoli_c_071_lsl",12
"85",299,1416,"spoli_c_071_lsl",13
"86",323,NA,"spoli_c_071_lsl",14
"87",341,NA,"spoli_c_071_lsl",15
"88",353,NA,"spoli_c_071_lsl",16
"89",383,NA,"spoli_c_071_lsl",17
"90",401,NA,"spoli_c_071_lsl",18
"91",419,NA,"spoli_c_071_lsl",19
"92",449,NA,"spoli_c_071_lsl",20
"93",461,NA,"spoli_c_071_lsl",21
"94",497,NA,"spoli_c_071_lsl",22
"95",515,NA,"spoli_c_071_lsl",23
"96",545,NA,"spoli_c_071_lsl",24
"97",23,436,"spoli_c_076_lsl",1
"98",47,288,"spoli_c_076_lsl",2
"99",65,279,"spoli_c_076_lsl",3
"100",89,266,"spoli_c_076_lsl",4
"101",113,272,"spoli_c_076_lsl",5
"102",125,NA,"spoli_c_076_lsl",6
"103",149,191,"spoli_c_076_lsl",7
"104",167,-899,"spoli_c_076_lsl",8
"105",203,252,"spoli_c_076_lsl",9
"106",221,243,"spoli_c_076_lsl",10
"107",239,204,"spoli_c_076_lsl",11
"108",275,258,"spoli_c_076_lsl",12
"109",299,400,"spoli_c_076_lsl",13
"110",323,347,"spoli_c_076_lsl",14
"111",341,474,"spoli_c_076_lsl",15
"112",353,291,"spoli_c_076_lsl",16
"113",383,NA,"spoli_c_076_lsl",17
"114",401,374,"spoli_c_076_lsl",18
"115",419,989,"spoli_c_076_lsl",19
"116",449,149,"spoli_c_076_lsl",20
"117",461,128,"spoli_c_076_lsl",21
"118",497,152,"spoli_c_076_lsl",22
"119",515,375,"spoli_c_076_lsl",23
"120",545,NA,"spoli_c_076_lsl",24
"121",17,327,"spoli_c_078_lsl",1
"122",53,343,"spoli_c_078_lsl",2
"123",77,368,"spoli_c_078_lsl",3
"124",95,402,"spoli_c_078_lsl",4
"125",107,379,"spoli_c_078_lsl",5
"126",131,433,"spoli_c_078_lsl",6
"127",143,438,"spoli_c_078_lsl",7
"128",173,411,"spoli_c_078_lsl",8
"129",191,375,"spoli_c_078_lsl",9
"130",227,457,"spoli_c_078_lsl",10
"131",251,356,"spoli_c_078_lsl",11
"132",281,415,"spoli_c_078_lsl",12
"133",311,334,"spoli_c_078_lsl",13
"134",329,317,"spoli_c_078_lsl",14
"135",359,454,"spoli_c_078_lsl",15
"136",377,285,"spoli_c_078_lsl",16
"137",389,-477,"spoli_c_078_lsl",17
"138",413,232,"spoli_c_078_lsl",18
"139",437,259,"spoli_c_078_lsl",19
"140",473,256,"spoli_c_078_lsl",20
"141",485,228,"spoli_c_078_lsl",21
"142",503,256,"spoli_c_078_lsl",22
"143",527,269,"spoli_c_078_lsl",23
"144",569,270,"spoli_c_078_lsl",24
"145",5,591,"spoli_c_088_lsl",1
"146",35,679,"spoli_c_088_lsl",2
