"","trial","reaction_time","id","targ_index","scaled_rt"
"1",21,NA,"spoli_c_008",1,NA
"2",27,561.327819824224,"spoli_c_008",2,0.0405278169027006
"3",42,NA,"spoli_c_008",3,NA
"4",51,540.003662109381,"spoli_c_008",4,-0.0202530353114089
"5",63,NA,"spoli_c_008",5,NA
"6",81,649.332885742193,"spoli_c_008",6,0.291371155110126
"7",87,550.669555664068,"spoli_c_008",7,0.0101482639355768
"8",105,510.668640136724,"spoli_c_008",8,-0.103867481380551
"9",117,NA,"spoli_c_008",9,NA
"10",123,NA,"spoli_c_008",10,NA
"11",141,NA,"spoli_c_008",11,NA
"12",153,NA,"spoli_c_008",12,NA
"13",162,NA,"spoli_c_008",13,NA
"14",171,470.667724609381,"spoli_c_008",14,-0.217883226696678
"15",177,NA,"spoli_c_008",15,NA
"16",189,NA,"spoli_c_008",16,NA
"17",201,638.666992187506,"spoli_c_008",17,0.26096985586314
"18",216,721.339111328131,"spoli_c_008",18,0.496612544447072
"19",225,NA,"spoli_c_008",19,NA
"20",237,NA,"spoli_c_008",20,NA
"21",252,NA,"spoli_c_008",21,NA
"22",267,NA,"spoli_c_008",22,NA
"23",273,-468.000488281244,"spoli_c_008",23,-2.89339588650376
"24",285,NA,"spoli_c_008",24,NA
"25",303,NA,"spoli_c_008",25,NA
"26",318,878.661499023443,"spoli_c_008",26,0.945033013116903
"27",330,NA,"spoli_c_008",27,NA
"28",339,NA,"spoli_c_008",28,NA
"29",345,942.656860351568,"spoli_c_008",29,1.12744080859882
"30",360,569.315795898415,"spoli_c_008",30,0.0632961719180659
"31",366,NA,"spoli_c_008",31,NA
"32",381,NA,"spoli_c_008",32,NA
"33",399,NA,"spoli_c_008",33,NA
"34",411,NA,"spoli_c_008",34,NA
"35",423,NA,"spoli_c_008",35,NA
"36",432,NA,"spoli_c_008",36,NA
"37",441,NA,"spoli_c_008",37,NA
"38",459,NA,"spoli_c_008",38,NA
"39",474,NA,"spoli_c_008",39,NA
"40",483,NA,"spoli_c_008",40,NA
"41",495,NA,"spoli_c_008",41,NA
"42",507,NA,"spoli_c_008",42,NA
"43",525,NA,"spoli_c_008",43,NA
"44",534,NA,"spoli_c_008",44,NA
"45",546,NA,"spoli_c_008",45,NA
"46",552,NA,"spoli_c_008",46,NA
"47",570,NA,"spoli_c_008",47,NA
"48",579,NA,"spoli_c_008",48,NA
"49",12,-286.84807256236,"spoli_c_019",1,-0.902603230950521
"50",18,461.269841269842,"spoli_c_019",2,0.806642820464326
"51",36,-356.50793650792,"spoli_c_019",3,-1.06175708248862
"52",45,-385.532879818594,"spoli_c_019",4,-1.12807118729622
"53",60,NA,"spoli_c_019",5,NA
"54",72,632.517006802725,"spoli_c_019",6,1.19789603882893
"55",84,388.707482993208,"spoli_c_019",7,0.640857558445449
"56",93,NA,"spoli_c_019",8,NA
"57",108,594.784580498863,"spoli_c_019",9,1.11168770257909
"58",120,NA,"spoli_c_019",10,NA
"59",129,NA,"spoli_c_019",11,NA
"60",138,-347.800453514732,"spoli_c_019",12,-1.04186285104638
"61",150,725.396825396824,"spoli_c_019",13,1.41010117421311
"62",159,461.269841269835,"spoli_c_019",14,0.80664282046431
