"","trial","reaction_time","id","targ_index","scaled_rt"
"1",37,-59.9990844726506,"spoli_c_008",1,-0.869312687984315
"2",46,491.999511718756,"spoli_c_008",2,0.496344080130525
"3",52,-348.005371093744,"spoli_c_008",3,-1.58184662792089
"4",67,158.666992187506,"spoli_c_008",4,-0.328327965181663
"5",82,460.001831054693,"spoli_c_008",5,0.417181108586115
"6",91,481.333618164068,"spoli_c_008",6,0.469956422949055
"7",109,NA,"spoli_c_008",7,NA
"8",115,811.991577148443,"spoli_c_008",8,1.28801154615714
"9",124,11.9995117187557,"spoli_c_008",9,-0.691186564363764
"10",139,NA,"spoli_c_008",10,NA
"11",148,518.671875000006,"spoli_c_008",11,0.562332098375459
"12",157,121.328735351568,"spoli_c_008",12,-0.420703640608068
"13",178,588.007812500006,"spoli_c_008",13,0.733870745346273
"14",199,NA,"spoli_c_008",14,NA
"15",211,NA,"spoli_c_008",15,NA
"16",223,9.32922363281818,"spoli_c_008",16,-0.697792916304761
"17",235,19.9951171875057,"spoli_c_008",17,-0.671405259123291
"18",247,-132.001953124994,"spoli_c_008",18,-1.04744938176797
"19",259,NA,"spoli_c_008",19,NA
"20",271,630.671386718756,"spoli_c_008",20,0.839421374072153
"21",283,550.669555664068,"spoli_c_008",21,0.641495069919869
"22",295,569.331054687506,"spoli_c_008",22,0.687664032341811
"23",301,369.345092773443,"spoli_c_008",23,0.192894327671776
"24",310,579.996948242193,"spoli_c_008",24,0.714051689523281
"25",322,308.004760742193,"spoli_c_008",25,0.0411369859414344
"26",328,-401.334838867182,"spoli_c_008",26,-1.71378491382824
"27",340,-449.323730468773,"spoli_c_008",27,-1.83251049585366
"28",346,921.309814453102,"spoli_c_008",28,1.55846728949335
"29",361,NA,"spoli_c_008",29,NA
"30",370,NA,"spoli_c_008",30,NA
"31",382,609.339599609352,"spoli_c_008",31,0.786646059709143
"32",397,NA,"spoli_c_008",32,NA
"33",403,-20.0134277343977,"spoli_c_008",33,-0.770387286490763
"34",418,60.0036621093523,"spoli_c_008",34,-0.57242323175596
"35",433,NA,"spoli_c_008",35,NA
"36",448,NA,"spoli_c_008",36,NA
"37",460,NA,"spoli_c_008",37,NA
"38",469,510.676269531227,"spoli_c_008",38,0.542550793134917
"39",478,NA,"spoli_c_008",39,NA
"40",484,NA,"spoli_c_008",40,NA
"41",499,NA,"spoli_c_008",41,NA
"42",511,-390.668945312523,"spoli_c_008",42,-1.68739725664684
"43",529,859.980468749977,"spoli_c_008",43,1.40673712818242
"44",550,NA,"spoli_c_008",44,NA
"45",556,NA,"spoli_c_008",45,NA
"46",571,900.008544921852,"spoli_c_008",46,1.50576747629545
"47",580,NA,"spoli_c_008",47,NA
"48",595,NA,"spoli_c_008",48,NA
"49",28,NA,"spoli_c_014",1,NA
"50",43,NA,"spoli_c_014",2,NA
"51",61,NA,"spoli_c_014",3,NA
"52",70,NA,"spoli_c_014",4,NA
"53",79,NA,"spoli_c_014",5,NA
"54",88,248.299319727906,"spoli_c_014",6,-0.197513703343205
"55",103,NA,"spoli_c_014",7,NA
"56",112,143.809523809523,"spoli_c_014",8,-0.420064354997559
"57",127,NA,"spoli_c_014",9,NA
"58",145,NA,"spoli_c_014",10,NA
"59",160,507.709750566913,"spoli_c_014",11,0.354999199201389
"60",169,NA,"spoli_c_014",12,NA
"61",181,NA,"spoli_c_014",13,NA
"62",193,NA,"spoli_c_014",14,NA
"63",205,NA,"spoli_c_014",15,NA
"64",220,941.269841269864,"spoli_c_014",16,1.27842985450318
"65",232,NA,"spoli_c_014",17,NA
"66",244,NA,"spoli_c_014",18,NA
"67",256,NA,"spoli_c_014",19,NA
"68",268,NA,"spoli_c_014",20,NA
"69",274,259.909297052161,"spoli_c_014",21,-0.172785853159408
"70",292,786.349206349211,"spoli_c_014",22,0.94846760361288
"71",304,NA,"spoli_c_014",23,NA
"72",313,815.374149659884,"spoli_c_014",24,1.01028722907245
"73",325,496.099773242644,"spoli_c_014",25,0.330271349017562
"74",337,NA,"spoli_c_014",26,NA
"75",355,-475.510204081626,"spoli_c_014",27,-1.73914061324034
"76",364,-312.970521541938,"spoli_c_014",28,-1.39295071066694
"77",376,NA,"spoli_c_014",29,NA
"78",385,NA,"spoli_c_014",30,NA
"79",391,NA,"spoli_c_014",31,NA
"80",406,NA,"spoli_c_014",32,NA
"81",415,NA,"spoli_c_014",33,NA
"82",427,NA,"spoli_c_014",34,NA
"83",439,NA,"spoli_c_014",35,NA
"84",457,NA,"spoli_c_014",36,NA
"85",463,NA,"spoli_c_014",37,NA
"86",475,NA,"spoli_c_014",38,NA
"87",493,NA,"spoli_c_014",39,NA
"88",505,NA,"spoli_c_014",40,NA
"89",517,NA,"spoli_c_014",41,NA
"90",523,NA,"spoli_c_014",42,NA
"91",532,NA,"spoli_c_014",43,NA
"92",541,NA,"spoli_c_014",44,NA
"93",553,NA,"spoli_c_014",45,NA
"94",568,NA,"spoli_c_014",46,NA
"95",574,NA,"spoli_c_014",47,NA
"96",586,NA,"spoli_c_014",48,NA
"97",37,NA,"spoli_c_030",1,NA
"98",46,NA,"spoli_c_030",2,NA
"99",52,NA,"spoli_c_030",3,NA
"100",67,NA,"spoli_c_030",4,NA
"101",82,NA,"spoli_c_030",5,NA
"102",91,NA,"spoli_c_030",6,NA
"103",109,NA,"spoli_c_030",7,NA
"104",115,NA,"spoli_c_030",8,NA
"105",124,NA,"spoli_c_030",9,NA
"106",139,NA,"spoli_c_030",10,NA
"107",148,NA,"spoli_c_030",11,NA
"108",157,NA,"spoli_c_030",12,NA
"109",178,NA,"spoli_c_030",13,NA
"110",199,NA,"spoli_c_030",14,NA
"111",211,NA,"spoli_c_030",15,NA
"112",223,NA,"spoli_c_030",16,NA
"113",235,178.639455782275,"spoli_c_030",17,0.252783204135949
"114",247,NA,"spoli_c_030",18,NA
"115",259,NA,"spoli_c_030",19,NA
"116",271,NA,"spoli_c_030",20,NA
"117",283,-405.850340136094,"spoli_c_030",21,-1.42169764234041
"118",295,NA,"spoli_c_030",22,NA
"119",301,NA,"spoli_c_030",23,NA
"120",310,NA,"spoli_c_030",24,NA
"121",322,NA,"spoli_c_030",25,NA
"122",328,NA,"spoli_c_030",26,NA
"123",340,NA,"spoli_c_030",27,NA
"124",346,NA,"spoli_c_030",28,NA
"125",361,NA,"spoli_c_030",29,NA
"126",370,NA,"spoli_c_030",30,NA
"127",382,-100.000000000023,"spoli_c_030",31,-0.545479545767073
"128",397,NA,"spoli_c_030",32,NA
"129",403,NA,"spoli_c_030",33,NA
"130",418,NA,"spoli_c_030",34,NA
"131",433,484.489795918346,"spoli_c_030",35,1.12900130070928
"132",448,294.739229024913,"spoli_c_030",36,0.585392683262249
"133",460,NA,"spoli_c_030",37,NA
"134",469,NA,"spoli_c_030",38,NA
"135",478,NA,"spoli_c_030",39,NA
"136",484,NA,"spoli_c_030",40,NA
"137",499,NA,"spoli_c_030",41,NA
"138",511,NA,"spoli_c_030",42,NA
"139",529,NA,"spoli_c_030",43,NA
"140",550,NA,"spoli_c_030",44,NA
"141",556,NA,"spoli_c_030",45,NA
"142",571,NA,"spoli_c_030",46,NA
"143",580,NA,"spoli_c_030",47,NA
"144",595,NA,"spoli_c_030",48,NA
"145",37,929.333333333338,"spoli_c_049",1,NA
"146",46,NA,"spoli_c_049",2,NA
"147",52,NA,"spoli_c_049",3,NA
"148",67,NA,"spoli_c_049",4,NA
"149",82,NA,"spoli_c_049",5,NA
"150",91,NA,"spoli_c_049",6,NA
"151",109,NA,"spoli_c_049",7,NA
"152",115,NA,"spoli_c_049",8,NA
"153",124,NA,"spoli_c_049",9,NA
"154",139,NA,"spoli_c_049",10,NA
"155",148,NA,"spoli_c_049",11,NA
"156",157,NA,"spoli_c_049",12,NA
"157",178,NA,"spoli_c_049",13,NA
"158",199,NA,"spoli_c_049",14,NA
"159",211,NA,"spoli_c_049",15,NA
"160",223,NA,"spoli_c_049",16,NA
"161",235,NA,"spoli_c_049",17,NA
"162",247,NA,"spoli_c_049",18,NA
"163",259,NA,"spoli_c_049",19,NA
"164",271,NA,"spoli_c_049",20,NA
"165",283,NA,"spoli_c_049",21,NA
"166",295,NA,"spoli_c_049",22,NA
"167",301,NA,"spoli_c_049",23,NA
"168",310,NA,"spoli_c_049",24,NA
"169",322,NA,"spoli_c_049",25,NA
"170",328,NA,"spoli_c_049",26,NA
"171",340,NA,"spoli_c_049",27,NA
"172",346,NA,"spoli_c_049",28,NA
"173",361,NA,"spoli_c_049",29,NA
"174",370,NA,"spoli_c_049",30,NA
"175",382,NA,"spoli_c_049",31,NA
"176",397,NA,"spoli_c_049",32,NA
"177",403,NA,"spoli_c_049",33,NA
"178",418,NA,"spoli_c_049",34,NA
"179",433,NA,"spoli_c_049",35,NA
"180",448,NA,"spoli_c_049",36,NA
"181",460,NA,"spoli_c_049",37,NA
"182",469,NA,"spoli_c_049",38,NA
"183",478,NA,"spoli_c_049",39,NA
"184",484,NA,"spoli_c_049",40,NA
"185",499,NA,"spoli_c_049",41,NA
"186",511,NA,"spoli_c_049",42,NA
"187",529,NA,"spoli_c_049",43,NA
"188",550,NA,"spoli_c_049",44,NA
"189",556,NA,"spoli_c_049",45,NA
"190",571,NA,"spoli_c_049",46,NA
"191",580,NA,"spoli_c_049",47,NA
"192",595,NA,"spoli_c_049",48,NA
"193",28,-409.333333333336,"spoli_c_071",1,-0.874843989355311
"194",43,27.9999999999987,"spoli_c_071",2,0.508975592572427
"195",61,-398.666666666667,"spoli_c_071",3,-0.841092292235115
"196",70,945.33333333333,"spoli_c_071",4,3.41162154490864
"197",79,-409.333333333332,"spoli_c_071",5,-0.8748439893553
"198",88,-68.0000000000049,"spoli_c_071",6,0.205210318490718
"199",103,241.33333333333,"spoli_c_071",7,1.18400953497619
"200",112,-323.999999999994,"spoli_c_071",8,-0.604830412393775
"201",127,-281.333333333332,"spoli_c_071",9,-0.469823623913036
"202",145,124.000000000009,"spoli_c_071",10,0.812740866654159
"203",160,70.6666666666678,"spoli_c_071",11,0.64398238105319
"204",169,-142.666666666667,"spoli_c_071",12,-0.0310515613505865
"205",181,NA,"spoli_c_071",13,NA
"206",193,-249.333333333336,"spoli_c_071",14,-0.368568532552481
"207",205,NA,"spoli_c_071",15,NA
"208",220,81.3333333333333,"spoli_c_071",16,0.677734078173374
"209",232,-430.666666666663,"spoli_c_071",17,-0.94234738359567
"210",244,NA,"spoli_c_071",18,NA
"211",256,145.333333333355,"spoli_c_071",19,0.880244260894574
"212",268,-78.6666666666633,"spoli_c_071",20,0.171458621370555
"213",274,NA,"spoli_c_071",21,NA
"214",292,-441.333333333329,"spoli_c_071",22,-0.976099080715855
"215",304,-323.999999999994,"spoli_c_071",23,-0.604830412393775
"216",313,145.333333333355,"spoli_c_071",24,0.880244260894574
"217",325,-78.6666666666633,"spoli_c_071",25,0.171458621370555
"218",337,-345.333333333325,"spoli_c_071",26,-0.672333806634145
"219",355,NA,"spoli_c_071",27,NA
"220",364,-473.333333333311,"spoli_c_071",28,-1.07735417207636
"221",376,NA,"spoli_c_071",29,NA
"222",385,-334.666666666674,"spoli_c_071",30,-0.638582109514005
"223",391,NA,"spoli_c_071",31,NA
"224",406,NA,"spoli_c_071",32,NA
"225",415,NA,"spoli_c_071",33,NA
"226",427,-313.333333333314,"spoli_c_071",34,-0.571078715273545
"227",439,NA,"spoli_c_071",35,NA
