"","trial","reaction_time","id","targ_index","scaled_rt"
"1",23,590,"spoli_c_008",1,-0.111905465820984
"2",29,580,"spoli_c_008",2,-0.238590898825871
"3",41,539,"spoli_c_008",3,-0.758001174145908
"4",53,644,"spoli_c_008",4,0.572195872405406
"5",65,557,"spoli_c_008",5,-0.529967394737111
"6",80,581,"spoli_c_008",6,-0.225922355525382
"7",92,610,"spoli_c_008",7,0.14146540018879
"8",98,651,"spoli_c_008",8,0.660875675508827
"9",116,502,"spoli_c_008",9,-1.22673727626399
"10",122,541,"spoli_c_008",10,-0.732664087544931
"11",137,663,"spoli_c_008",11,0.812898195114692
"12",152,742,"spoli_c_008",12,1.8137131158533
"13",164,600,"spoli_c_008",13,0.014779967183903
"14",173,826,"spoli_c_008",14,2.87787075309435
"15",179,653,"spoli_c_008",15,0.686212762109805
"16",191,582,"spoli_c_008",16,-0.213253812224894
"17",206,577,"spoli_c_008",17,-0.276596528727337
"18",215,589,"spoli_c_008",18,-0.124574009121473
"19",230,458,"spoli_c_008",19,-1.78415318148549
"20",242,536,"spoli_c_008",20,-0.796006804047374
"21",254,486,"spoli_c_008",21,-1.42943396907181
"22",260,651,"spoli_c_008",22,0.660875675508827
"23",281,618,"spoli_c_008",23,0.2428137465927
"24",293,596,"spoli_c_008",24,-0.0358942060180518
"25",547,535,"spoli_c_014",1,-0.810178514888748
"26",565,879,"spoli_c_014",2,0.697733131735523
"27",574,549,"spoli_c_014",3,-0.748810017642412
"28",580,831,"spoli_c_014",4,0.487326855462369
"29",592,736,"spoli_c_014",5,0.0708977670050845
"30",613,722,"spoli_c_014",6,0.00952926975874788
"31",625,741,"spoli_c_014",7,0.0928150874502047
"32",637,586,"spoli_c_014",8,-0.586621846348522
"33",649,859,"spoli_c_014",9,0.610063849955042
"34",658,NA,"spoli_c_014",10,NA
"35",664,823,"spoli_c_014",11,0.452259142750176
"36",679,856,"spoli_c_014",12,0.59691345768797
"37",688,837,"spoli_c_014",13,0.513627639996513
"38",706,1020,"spoli_c_014",14,1.31580156828791
"39",715,644,"spoli_c_014",15,-0.332380929185128
"40",727,627,"spoli_c_014",16,-0.406899818698536
"41",748,845,"spoli_c_014",17,0.548695352708705
"42",754,743,"spoli_c_014",18,0.101582015628253
"43",769,816,"spoli_c_014",19,0.421574894127008
"44",787,1015,"spoli_c_014",20,1.29388424784279
"45",796,751,"spoli_c_014",21,0.136649728340445
"46",805,706,"spoli_c_014",22,-0.0606061556656368
"47",820,564,"spoli_c_014",23,-0.683058056307051
"48",826,-129,"spoli_c_014",24,-3.72079867000071
"49",1087,544,"spoli_c_049",1,0.876241911918177
"50",1093,-135,"spoli_c_049",2,-3.0145586866155
"51",1105,785,"spoli_c_049",3,2.25721826574236
"52",1117,547,"spoli_c_049",4,0.893432488936735
"53",1129,349,"spoli_c_049",5,-0.241145594288109
"54",1144,304,"spoli_c_049",6,-0.499004249566482
"55",1156,440,"spoli_c_049",7,0.280301908608158
"56",1162,355,"spoli_c_049",8,-0.206764440250992
"57",1180,360,"spoli_c_049",9,-0.178113478553395
"58",1186,390,"spoli_c_049",10,-0.00620770836781259
"59",1201,343,"spoli_c_049",11,-0.275526748325225
"60",1216,488,"spoli_c_049",12,0.55535114090509
"61",1228,572,"spoli_c_049",13,1.03668729742472
"62",1237,676,"spoli_c_049",14,1.63262730073474
"63",1243,376,"spoli_c_049",15,-0.0864304011210844
"64",1255,397,"spoli_c_049",16,0.0339036380088233
"65",1270,365,"spoli_c_049",17,-0.149462516855798
"66",1279,345,"spoli_c_049",18,-0.264066363646186
"67",1294,251,"spoli_c_049",19,-0.802704443561011
"68",1306,393,"spoli_c_049",20,0.0109828686507456
"69",1318,359,"spoli_c_049",21,-0.183843670892914
"70",1324,243,"spoli_c_049",22,-0.848545982277166
"71",1345,432,"spoli_c_049",23,0.234460369892003
"72",1357,207,"spoli_c_049",24,-1.05483290649986
"73",1611,407,"spoli_c_054",1,-0.8883353644679
"74",1629,525,"spoli_c_054",2,1.30500879610149
"75",1638,567,"spoli_c_054",3,2.08569061596517
"76",1644,374,"spoli_c_054",4,-1.50172822293222
