"","ans","subj","cond","trial_index","corr","reindex"
"1","1","A002160837SWJFPIAI7L7","lang1","25",1,1
"2","2","A002160837SWJFPIAI7L7","lang1","32",0,2
"3","1","A002160837SWJFPIAI7L7","lang1","39",1,3
"4","2","A002160837SWJFPIAI7L7","lang1","46",1,4
"5","2","A002160837SWJFPIAI7L7","lang1","53",1,5
"6","2","A002160837SWJFPIAI7L7","lang1","60",0,6
"7","1","A002160837SWJFPIAI7L7","lang1","67",1,7
"8","1","A002160837SWJFPIAI7L7","lang1","74",0,8
"9","2","A002160837SWJFPIAI7L7","lang1","81",1,9
"10","1","A002160837SWJFPIAI7L7","lang1","88",0,10
"11","1","A002160837SWJFPIAI7L7","lang1","95",1,11
"12","2","A002160837SWJFPIAI7L7","lang1","102",1,12
"13","1","A002160837SWJFPIAI7L7","lang1","109",1,13
"14","1","A002160837SWJFPIAI7L7","lang1","116",1,14
"15","1","A002160837SWJFPIAI7L7","lang1","123",0,15
"16","1","A002160837SWJFPIAI7L7","lang1","130",0,16
"17","2","A002160837SWJFPIAI7L7","lang1","137",0,17
"18","1","A002160837SWJFPIAI7L7","lang1","144",1,18
"19","1","A002160837SWJFPIAI7L7","lang1","151",1,19
"20","2","A002160837SWJFPIAI7L7","lang1","158",0,20
"21","2","A002160837SWJFPIAI7L7","lang1","165",1,21
"22","1","A002160837SWJFPIAI7L7","lang1","172",1,22
"23","2","A002160837SWJFPIAI7L7","lang1","179",1,23
"24","1","A002160837SWJFPIAI7L7","lang1","186",0,24
"25","2","A002160837SWJFPIAI7L7","lang1","193",0,25
"26","1","A002160837SWJFPIAI7L7","lang1","200",0,26
"27","1","A002160837SWJFPIAI7L7","lang1","207",0,27
"28","2","A002160837SWJFPIAI7L7","lang1","214",1,28
"29","2","A002160837SWJFPIAI7L7","lang1","221",0,29
"30","1","A002160837SWJFPIAI7L7","lang1","228",0,30
"31","2","A002160837SWJFPIAI7L7","lang1","235",1,31
"32","1","A002160837SWJFPIAI7L7","lang1","242",1,32
"33","1","A0657006AJFWB5ZA91B2","lang2","25",1,1
"34","1","A0657006AJFWB5ZA91B2","lang2","32",1,2
"35","2","A0657006AJFWB5ZA91B2","lang2","39",0,3
"36","1","A0657006AJFWB5ZA91B2","lang2","46",1,4
"37","1","A0657006AJFWB5ZA91B2","lang2","53",1,5
"38","1","A0657006AJFWB5ZA91B2","lang2","60",1,6
"39","1","A0657006AJFWB5ZA91B2","lang2","67",1,7
"40","1","A0657006AJFWB5ZA91B2","lang2","74",1,8
"41","1","A0657006AJFWB5ZA91B2","lang2","81",1,9
"42","1","A0657006AJFWB5ZA91B2","lang2","88",1,10
"43","1","A0657006AJFWB5ZA91B2","lang2","95",1,11
"44","1","A0657006AJFWB5ZA91B2","lang2","102",1,12
"45","1","A0657006AJFWB5ZA91B2","lang2","109",1,13
"46","2","A0657006AJFWB5ZA91B2","lang2","116",0,14
"47","2","A0657006AJFWB5ZA91B2","lang2","123",0,15
"48","1","A0657006AJFWB5ZA91B2","lang2","130",1,16
"49","2","A0657006AJFWB5ZA91B2","lang2","137",1,17
"50","2","A0657006AJFWB5ZA91B2","lang2","144",1,18
"51","1","A0657006AJFWB5ZA91B2","lang2","151",0,19
"52","2","A0657006AJFWB5ZA91B2","lang2","158",1,20
"53","2","A0657006AJFWB5ZA91B2","lang2","165",1,21
"54","2","A0657006AJFWB5ZA91B2","lang2","172",1,22
"55","1","A0657006AJFWB5ZA91B2","lang2","179",0,23
"56","2","A0657006AJFWB5ZA91B2","lang2","186",1,24
"57","2","A0657006AJFWB5ZA91B2","lang2","193",1,25
"58","2","A0657006AJFWB5ZA91B2","lang2","200",1,26
"59","2","A0657006AJFWB5ZA91B2","lang2","207",1,27
"60","2","A0657006AJFWB5ZA91B2","lang2","214",1,28
