,part_id
1,blast_c_002
3,blast_c_019
4,blast_c_028
6,blast_c_036
7,blast_c_038
8,blast_c_045
9,blast_c_059
11,blast_c_071
13,blast_c_085
16,blast_c_095
17,blast_c_096
18,blast_c_097
19,blast_c_101
20,blast_c_109
26,blast_c_124
28,blast_c_147
29,blast_c_149
32,blast_c_168
37,blast_c_206
39,blast_c_209
40,blast_c_210
41,blast_c_211
42,blast_c_213
43,blast_c_216
44,blast_c_220
47,blast_c_231
48,blast_c_232
49,blast_c_233
50,blast_c_265
51,blast_c_267
52,blast_c_268
54,blast_c_406
55,blast_c_409
58,blast_c_420
60,blast_c_423
62,blast_c_427
63,blast_c_428
64,blast_c_438
65,blast_c_439
66,blast_c_440
67,blast_c_444
68,blast_c_449
69,blast_c_450
70,blast_c_451
71,blast_c_454
72,blast_c_457
74,blast_c_461
82,spoli_c_097
83,spoli_c_125
88,spoli_c_379
89,spoli_c_391
90,spoli_c_396
92,spoli_c_409
93,spoli_c_410
94,spoli_c_419
96,spoli_c_439
97,spoli_c_444
98,spoli_c_447
99,spoli_c_448
100,spoli_c_450
101,spoli_c_451
102,spoli_c_452
